Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,1,1,8,1,1,279,18
2,5,11,1,2,3,265,2
3,8,19,202,144,5,429,5
4,166,74,18,4,7,851,65
5,169,15,5,6,8,862,6
6,170,14,15,7,10,21,2
7,189,16,3,8,13,992,14
8,192,12,19,9,17,147,11
9,445,5,430,228,19,694,1
10,531,18,1,12,21,318,7
11,720,58,284,306,24,326,137
12,747,3,13,14,27,83,4
13,868,22,395,232,35,996,195
14,870,78,300,234,40,894,139
15,737,4,11,363,47,193,4
16,738,23,246,530,51,836,49
17,1,1,11,21,60,662,9
18,3,21,117,23,75,978,1
19,4,13,517,24,79,50,10
20,5,30,86,25,81,71,204
21,8,9,22,26,96,364,12
22,105,34,18,27,107,580,209
23,537,6,412,241,108,803,3
24,663,81,13,29,127,108,144
25,719,82,10,30,130,755,19
26,730,24,31,31,131,969,147
27,735,33,4,33,149,48,76
28,983,83,811,632,163,739,61
29,984,61,615,372,164,454,171
30,985,85,724,543,166,469,152
16,986,2,19,20,170,383,9
30,3,3,15,35,171,205,3
11,2,4,5,13,180,362,14
14,1,5,3,362,186,86,22
8,54,6,422,227,248,415,19
22,99,7,404,240,253,524,21
31,104,8,328,255,256,287,5
32,149,9,2,257,279,117,10
20,398,10,14,25,287,85,6
33,759,11,1,36,303,192,2
1,4,12,7,1,316,14,20
7,3,13,11,8,322,132,7
18,2,14,509,23,353,229,8
34,1,1,1,37,356,279,1
5,1,15,7,6,357,258,16
4,3,16,3,5,360,583,12
6,4,17,5,7,365,713,4
35,5,18,2,38,395,240,1
9,6,19,9,11,409,39,11
2,8,20,194,143,425,150,13
36,9,21,32,39,466,49,15
17,10,22,125,22,485,699,17
36,105,17,7,40,491,325,176
18,161,19,87,23,496,194,202
37,163,21,633,382,501,301,171
10,889,8,12,12,508,348,6
4,892,3,14,5,521,244,4
5,54,5,2,6,524,727,16
31,55,3,5,256,526,103,10
25,685,22,3,31,534,313,74
20,5,23,19,25,536,315,207
38,49,25,302,41,537,334,206
39,533,27,39,742,538,353,208
40,660,29,10,42,539,339,66
6,684,1,18,7,540,118,13
8,715,7,2,10,541,53,9
1,725,8,201,142,542,164,7
15,732,10,12,19,649,397,11
16,733,10,118,21,842,713,3
41,735,31,100,744,1078,509,131
13,7,7,10,361,1132,72,2
42,6,33,507,43,4,29,184
43,2,35,173,154,6,637,192
3,1,4,4,4,15,597,8
17,30,2,516,22,22,215,12
24,50,13,32,29,24,704,145
19,52,2,21,24,36,99,14
44,53,37,324,547,47,655,49
45,54,40,161,746,48,646,52
46,149,42,558,401,78,60,200
47,151,44,524,48,88,171,167
9,182,47,285,304,103,61,135
48,397,49,133,860,108,681,155
49,532,51,266,861,119,499,196
50,634,56,1,159,127,231,5
51,725,58,307,997,131,483,187
52,730,61,636,413,135,119,112
53,7,64,713,415,146,711,191
53,52,93,233,21,148,14,182
54,977,40,22,23,162,118,196
55,8,94,17,26,173,163,147
56,7,95,1,27,179,16,30
42,6,27,28,12,182,473,199
57,4,96,16,30,188,246,69
58,3,97,23,33,197,26,173
59,2,98,15,34,233,262,72
60,1,99,6,36,252,193,134
61,1,100,5,38,279,398,139
62,355,101,27,41,280,21,110
63,710,102,3,43,301,424,109
7,11,1,203,132,302,111,2
64,10,103,10,46,314,183,127
65,9,104,586,48,321,590,189
66,8,31,320,119,323,88,165
67,7,105,33,49,334,423,97
18,6,10,180,118,347,65,7
68,5,106,39,52,350,299,202
1,4,59,13,2,356,11,71
68,48,30,505,55,357,770,84
69,49,162,534,1002,364,132,691
8,89,71,5,10,399,934,69
70,91,168,230,322,464,857,577
71,145,75,279,1003,515,760,140
72,266,121,704,437,519,680,7
73,976,175,385,261,523,326,579
74,12,184,633,438,530,671,582
1,11,1,10,1,625,841,4
22,10,18,1,27,672,910,82
7,9,12,8,8,688,945,2
28,5,7,1,252,780,700,2
74,97,78,641,438,808,289,176
75,136,79,509,56,1015,486,170
10,268,11,6,357,3,669,10
12,389,14,16,15,5,200,3
76,708,80,31,260,8,245,164
21,974,9,36,25,16,107,153
77,1119,81,124,762,18,631,45
2,12,1,2,2,28,130,8
78,11,82,286,323,47,809,119
79,48,83,664,442,53,62,159
80,82,84,363,58,54,853,75
81,192,85,317,1007,59,152,43
