Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,5,1,60,1,1,3129,137
2,10,248,1,2,2,1607,1280
3,11,252,14470,1583,3,7291,5863
3,12,2,8047,2841,4,4155,223
4,20,3,16910,6801,5,8514,225
5,30,4,6772,8353,6,3762,226
6,31,5,15355,6802,9,11593,224
7,33,6,717,2,11,14905,222
8,34,7,456,3,12,9264,220
9,35,8,70,4,13,2535,130
10,37,9,1359,13921,15,8430,215
11,38,10,127,5,16,3879,98
12,44,11,377,6,18,11225,216
13,45,12,8777,2859,19,2950,221
14,52,13,10784,7,20,2963,154
15,57,14,149,8,21,3787,204
16,58,15,308,9,26,4889,214
17,67,16,880,14760,30,11721,194
18,70,17,804,10,33,3671,219
19,90,18,4,11,38,5902,40
20,95,1,32,12,40,9778,1
21,110,19,137,13,41,8367,99
22,116,20,505,14,44,4860,205
23,139,21,404,15,46,4884,218
24,142,22,478,16,53,1106,145
25,174,23,247,17,54,3772,185
26,228,24,206,18,56,7282,210
27,324,25,267,19,59,10509,100
28,382,26,622,20,60,6412,158
29,398,27,530,21,62,8463,184
30,399,28,364,22,63,7861,209
31,404,29,633,23,66,2519,213
32,406,30,344,24,70,16056,198
33,759,31,592,25,72,16010,101
34,797,32,43,26,75,15098,14
35,1052,33,634,27,78,11498,197
36,1053,34,264,28,80,594,102
37,1054,35,292,29,81,3951,208
38,1077,36,11,30,86,8337,174
39,1078,37,306,31,89,2213,125
40,1480,38,758,32,91,8401,217
41,1524,39,80,33,94,4620,143
42,1525,40,124,34,107,900,179
43,1544,41,899,35,109,14969,165
44,1545,42,747,36,115,9272,142
45,1546,43,818,14761,117,9333,212
46,1548,44,528,37,120,5885,169
47,2122,45,699,38,121,15339,201
48,2203,46,10823,39,126,2776,192
49,2327,47,904,40,127,13329,206
50,2719,48,24,41,129,6152,36
51,2802,49,888,14762,131,1033,211
52,2816,50,154,42,137,11443,103
53,2817,51,160,43,138,8702,128
54,2846,52,141,44,139,7787,104
55,2942,53,287,45,143,6030,105
56,2999,54,782,46,146,3960,106
57,3000,55,228,47,153,3796,170
58,3112,56,118,48,154,675,132
59,3315,57,739,49,155,9315,107
60,3397,58,176,50,160,1548,188
61,3728,59,491,51,165,5594,168
62,3729,60,622,52,173,1965,203
63,3744,61,159,53,181,365,171
64,3745,62,413,54,191,11451,108
65,3746,63,573,55,207,8282,138
66,3747,64,98,57,208,14123,189
67,3759,65,9382,60,211,5430,160
68,3765,66,400,63,213,2984,159
69,3776,67,779,64,222,2166,173
70,3780,68,45,65,223,9008,109
71,3857,69,480,66,224,5306,196
72,3865,70,87,68,226,8029,199
73,3903,71,275,69,227,3616,110
74,3916,72,351,70,229,1389,207
75,3950,73,483,71,233,7528,155
76,3951,74,389,72,236,5248,111
77,3952,75,259,73,244,8081,112
78,3953,76,47,74,250,957,113
79,3965,77,16,75,251,5794,25
80,4004,78,73,76,253,3123,195
81,4005,79,49,77,256,2828,114
82,4011,80,10849,3006,257,7922,149
83,4012,81,55,78,260,1986,115
84,4068,82,71,79,261,15719,177
85,4075,83,72,80,262,2224,116
86,4076,84,783,81,263,10828,117
87,4077,85,490,82,268,233,156
88,4086,86,494,83,275,5293,118
89,4109,87,15,84,278,9417,35
90,4270,88,261,85,279,11472,119
91,4293,89,220,86,292,14260,139
92,4294,90,74,87,303,993,120
93,4295,91,397,88,309,414,141
94,4301,92,594,90,311,6166,164
95,4302,93,694,91,328,7507,202
96,4306,94,606,92,329,8459,121
97,4310,95,140,94,330,12375,122
98,4315,96,133,95,331,8623,175
99,4446,97,519,96,332,1673,123
100,4557,98,31,97,339,10650,44
101,4584,99,3,98,340,11973,43
102,4585,100,26,99,341,9477,42
103,4626,101,927,100,356,5235,162
104,4666,102,132,101,357,8237,148
105,4667,103,42,102,358,16215,41
106,4687,104,238,103,364,9987,180
107,4742,105,332,104,366,15839,193
108,4743,106,310,105,368,3465,150
109,4785,107,95,106,374,14210,152
110,4805,108,136,107,387,13813,46
111,4841,109,223,108,388,6429,172
112,4871,110,202,109,406,16173,50
113,4883,111,81,110,407,12785,157
114,4884,112,54,111,409,12681,49
115,4949,113,2,112,410,11681,37
116,4962,114,518,113,411,8020,182
117,4972,115,107,114,413,7073,48
118,5011,116,586,115,414,5373,134
119,5041,117,97,116,415,6575,176
120,5060,118,776,117,428,2268,133
121,5132,119,781,118,430,313,47
122,5135,120,23,119,432,8962,33
123,5144,121,613,120,434,15937,181
124,5155,122,62,121,435,12869,129
125,5156,123,536,122,450,1162,186
126,5157,124,502,123,451,11107,163
127,5158,125,471,124,456,542,51
128,5172,126,321,125,477,2394,190
129,5221,127,551,126,480,3199,183
130,5280,128,470,127,495,7180,52
131,5304,129,481,128,496,6251,146
132,5305,130,469,129,500,8938,53
133,5306,131,482,130,502,4834,147
134,5307,132,500,131,520,347,187
135,5343,133,472,132,521,6050,54
136,5344,134,120,133,523,2661,55
137,5395,135,114,134,541,6008,56
138,5396,136,365,135,542,2393,178
139,5438,137,414,136,543,360,57
140,5443,138,428,137,546,6636,151
141,5446,139,12,138,569,2673,24
142,5451,140,426,139,570,1963,58
143,5453,141,38,141,571,15726,1
144,5480,142,113,143,576,7099,59
145,5481,143,64,145,594,4837,124
146,5482,144,352,146,595,11686,191
147,5488,145,303,147,598,10895,60
148,5772,146,745,148,611,3875,61
149,5784,147,22,149,613,5559,18
150,5867,148,284,150,614,8961,62
151,5868,149,286,151,747,7060,63
152,5874,150,283,152,765,8223,64
153,5958,151,281,153,826,11145,65
154,5959,152,288,154,858,12953,66
155,5972,153,277,155,862,14379,67
156,6062,154,285,156,934,1678,68
157,6063,155,282,157,938,13280,69
158,6164,156,511,158,940,921,136
159,6198,157,463,159,941,1969,135
160,6268,158,462,160,1028,1818,166
161,6292,159,402,161,1031,7320,167
162,6293,160,391,162,1036,16889,70
163,6301,161,18,165,1051,3705,8
164,6385,162,94,168,1058,1513,71
165,6457,163,616,170,1062,6323,200
166,6705,164,488,172,1247,6722,72
167,6719,165,443,173,1262,3703,73
168,7054,166,166,174,1263,14794,74
169,7055,167,65,175,1311,4393,131
170,7057,168,59,176,1317,567,75
171,7058,169,430,177,1332,159,161
172,7059,170,57,179,1333,826,76
173,7060,171,51,180,1335,1660,77
174,7061,172,415,181,1336,7745,78
175,7062,173,301,182,1378,6931,79
176,7063,174,34,183,1384,9330,39
177,7064,175,263,184,1385,4871,80
178,7622,176,265,185,1480,9146,81
179,7792,177,258,186,1489,11239,82
180,7793,178,388,187,1491,7625,83
181,7801,179,401,188,1492,13686,126
182,7810,180,390,189,1493,8728,84
183,7894,181,392,190,1494,586,85
184,7903,182,33,191,1495,16328,28
185,7942,183,6,192,1496,4123,27
186,8452,184,27,193,1497,5304,26
187,8544,185,40,194,1498,6399,45
188,8897,186,260,196,1663,3928,86
189,8991,187,17,199,1665,14158,20
190,9172,188,425,200,1695,2454,87
191,9213,189,44,203,1696,1423,17
192,9573,190,48,206,1697,11415,88
193,9586,191,5,208,1698,3110,15
194,9596,192,7,211,1699,7368,13
195,9597,193,11,215,1700,902,12
196,9598,194,37,218,1701,7313,11
197,9599,195,13,220,1702,2006,10
198,9600,196,29,223,1704,3456,9
199,9613,197,69,226,1724,5927,89
200,9738,198,25,227,1725,8121,6
201,9804,199,21,228,1755,2918,5
202,9824,200,46,229,1782,2639,4
203,10013,201,305,230,1783,16259,144
204,10056,202,36,232,1784,2291,3
205,10113,203,396,234,1785,5144,140
206,10132,204,28,235,1786,8779,2
207,10151,205,41,236,2088,11868,22
208,10161,206,53,238,2108,7797,90
209,10162,207,20,239,2113,2646,38
210,10163,208,45,241,2114,10857,34
211,10173,209,9,243,2115,9478,32
