Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,1,78,1,3,45,3365,1344
8143,6,8459,729,1090,48,1219,3974
4061,1618,3132,233,595,53,16084,5924
1164,9417,3849,837,528,127,1579,4757
14659,2,2748,2,84,151,259,205
14316,3,7792,6,1341,194,13318,4166
1,8,78,1,3,315,3365,1344
14658,18,1138,3,639,348,3624,1238
8181,1486,6664,581,663,469,18711,5039
1,4,2826,19590,81,501,17202,1549
2666,1,3778,19514,1103,502,8752,4622
1854,2,2254,39,1509,551,14509,2810
1095,39,3,17,1332,565,3526,47
11805,40,1676,293,938,648,3254,2686
4006,1633,700,227,562,681,15769,171
479,5,2262,897,122,721,1074,389
1718,6,1066,108,631,765,19333,187
3738,1095,1882,21,245,767,2788,2648
2413,1421,806,4,875,816,69,25
7917,1612,774,731,486,833,9261,16
6108,1614,407,11,1223,837,7939,43
16709,1631,1378,2,1082,843,8112,98
2071,2,1169,723,169,846,11961,288
743,36,682,549,1166,853,15304,1723
1189,1647,548,1046,13646,936,10536,251
9370,16614,2269,3,1588,951,5167,5167
3258,3,190,4,2351,962,15669,223
4623,1,313,3,12605,968,10695,561
2747,22197,1480,5750,220,969,737,5271
4851,9,676,5932,1000,1044,12823,1389
1096,6,1756,5742,1371,1074,4541,2656
4115,4,335,1,1141,1109,10305,373
2670,3,1159,5752,563,1156,16025,519
6643,1,781,96,684,1196,14213,145
13399,9,1662,5739,1335,1282,8009,2853
6520,16,327,5740,432,1359,16472,152
742,17,623,808,1697,1373,1898,168
4552,18,747,5703,377,1383,8022,127
3787,7730,2274,5936,1606,1437,1053,2807
13398,9033,15,5491,79,1498,9193,2357
1,22196,3742,749,181,1654,13486,2155
5046,37,20,7,97,1673,7183,3
19085,1091,1631,4928,188,1686,2870,2642
268,11,20,1540,97,1706,6417,3
1050,1458,1323,5986,1309,1771,2507,1983
11481,12,3544,1655,1032,1876,16903,1776
1740,9,3010,5907,816,1971,18995,327
3134,8,3916,5741,12065,2068,3075,47
1399,7,2,5803,205,2109,12286,1935
264,5,3010,5744,816,2154,1047,327
1540,4,7775,5934,802,2183,6218,3544
1859,3,1798,5858,97,2193,163,8551
1583,771,1801,40,394,2297,10372,8663
12202,9027,1808,5771,1020,2348,13244,6064
149,9028,3958,4,595,2370,7770,481
6945,9030,89,13,99,2442,1507,605
15755,3,1811,1,746,2520,674,3182
3570,9,1815,37,95,2663,5374,8490
16744,7,1822,9,547,2752,4193,8700
1,6,1828,11,657,2838,2956,8690
6181,5,5790,715,671,2936,5572,5088
