Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,1104,2,2,1,66,83,1
1,1,3,1,1,164,455,3
2,326,1,3,2,341,47,2
2,330,3,3,2,358,89,6
35,3,2,3,6,359,142,1
1,2,1,1,5,360,658,1
2,1,10,5,1,361,262,5
1,1,11,13,2,619,223,7
2,2,4,1,22,620,630,2
2,3,11,6,1,1173,556,25
3,4,42,1,2,352,614,23
4,1111,1,58,2,712,81,3
5,39,24,15,3,751,687,38
6,327,24,885,4,752,306,24
7,5,15,270,5,952,312,31
8,4,25,14,6,992,298,22
67,1,28,4,7,1019,101,29
7,1,30,3,76,1033,111,9
8,2,2,2,29,36,571,7
9,788,35,1,6,236,58,23
10,792,39,2,7,243,721,19
35,9,10,191,8,274,34,43
36,310,42,1,9,924,33,24
36,315,13,261,13,925,146,18
10,316,32,1,14,926,60,33
37,317,49,2,134,1007,132,29
38,2,50,822,9,201,224,34
39,1,51,4,135,260,236,36
59,1,53,1,14,262,117,6
688,2,54,2,15,263,460,15
4,1,14,2,212,288,35,29
33,1107,2,11,21,294,1,3
688,5,29,46,77,295,342,30
61,2,13,2,36,709,449,18
32,1,54,4,48,137,627,24
4,1,55,1,3,170,412,6
5,4,13,12,11,173,646,27
3,3,17,8,33,174,65,18
6,1,5,4,48,208,105,7
706,2,5,2,23,212,91,26
706,3,36,36,10,219,389,24
89,168,26,1,75,886,621,28
3,145,14,1,11,43,297,14
4,5,18,774,4,132,494,42
1,3,40,1,5,154,480,38
762,1,7,1,3,168,530,1
763,1,42,2,6,203,173,30
1091,1,42,828,57,204,23,16
2,2,43,1,45,206,468,30
3,3,31,1,57,223,306,18
758,4,8,1,97,28,432,31
2,5,11,1,1,310,238,41
3,24,16,3,120,315,572,35
4,27,62,1,115,347,1017,35
5,28,65,1,148,1008,626,34
4,1,24,35,8,1028,341,28
5,4,52,1,9,1029,390,11
6,30,52,2,38,155,17,16
26,10,53,1,33,294,580,40
9,280,6,2,1,303,415,10
27,25,55,10,2,326,26,31
4,156,54,1,1,338,14,33
765,1094,55,1,3,339,369,34
766,4,10,1,2,348,599,37
3,3,63,1,3,269,263,51
25,1,14,35,4,272,560,27
1,2,18,32,5,286,119,33
34,3,31,4,4,306,63,12
1,4,60,10,4,307,648,11
2,5,64,23,5,322,62,21
2,20,69,18,6,942,73,20
3,163,64,4,12,74,229,14
4,1074,65,4,11,75,359,27
5,1076,77,4,13,118,866,29
4,1077,10,6,12,164,472,15
604,5,54,4,31,202,302,41
605,158,60,3,17,210,108,22
614,159,46,4,3,216,115,82
615,160,41,1,16,449,450,71
616,3,32,3,16,453,40,40
4,6,60,2,11,704,365,38
5,1,66,1,10,745,489,39
737,2,1,1,1,759,701,1
4,3,3,1,1,985,703,5
1088,1101,4,861,2,156,471,3
2,1,3,3,2,336,153,4
25,1,5,4,3,337,600,1
1,2,6,1,4,351,88,6
26,3,7,2,5,352,106,2
1,5,3,2,21,353,636,5
1,5,11,4,4,57,112,3
24,15,3,1,14,446,206,12
1,5,3,19,14,449,246,8
2,1,4,1,15,465,500,2
2,4,8,2,21,970,578,9
3,3,20,4,25,984,810,7
59,4,11,1,26,153,313,14
2,3,24,1,27,320,302,9
3,1055,32,5,33,324,251,17
4,1058,51,1,2,325,310,27
5,447,52,1,3,595,231,36
4,4,52,1,10,1020,16,25
594,1,50,3,2,713,906,29
54,5,36,2,54,734,219,41
1022,6,9,2,34,966,534,26
1,5,2,8,2,1008,397,3
2,1,23,2,1,1009,660,49
3,2,13,1,1,1018,947,42
3,5,78,1,1,820,1167,71
4,6,72,6,5,826,51,49
5,22,1,4,1,827,770,1
6,5,6,1,2,966,786,4
6,5,2,1,2,1003,157,2
591,5,1,111,3,1004,628,1
56,5,2,2,13,18,516,5
2,1063,1,13,2,812,80,1
591,1064,2,100,187,826,45,5
946,1064,3,2,3,829,141,2
1,5,4,1,4,921,436,4
1,1,10,1,188,996,138,11
3,2,6,39,19,702,306,4
2,3,8,3,1,704,51,7
2,4,9,5,45,705,620,5
2,5,3,10,12,789,426,9
3,6,5,260,9,913,42,3
4,7,8,4,25,994,272,2
66,8,2,264,1,72,217,5
64,483,3,1,2,116,312,7
5,591,7,3,3,226,399,9
587,593,9,1,4,770,348,2
4,1079,11,1,5,773,272,10
1,586,14,1,6,777,63,12
15,5,26,2,6,61,315,20
15,5,32,9,18,173,865,19
34,5,13,1,8,202,511,19
16,505,4,1,2,236,207,1
51,5,24,10,18,254,338,7
4,6,15,36,27,689,31,29
1,580,18,224,32,475,520,7
2,5,14,3,3,952,508,27
2,1,11,1,2,979,347,25
3,2,3,5,1,985,709,12
70,1038,20,3,50,988,345,29
4,5,28,31,183,440,19,20
3,20,34,235,1,446,230,11
4,24,37,2,2,448,5,18
5,5,41,1,3,975,457,20
6,21,28,72,134,977,347,12
4,29,2,2,30,300,1054,7
5,1,20,7,1,331,125,21
48,3,16,1,3,693,461,41
636,4,4,645,1,694,606,2
13,3,16,207,14,971,741,44
6,2,10,99,12,392,177,3
2,1,45,5,14,393,175,22
45,1,46,165,51,643,489,23
766,32,19,1,17,658,119,17
2,9,4,1,1,966,846,28
1,320,23,7,2,649,585,18
3,323,9,1,2,652,91,40
1,980,31,156,3,663,630,32
2,911,14,245,4,964,471,5
2,912,48,2,22,968,15,18
684,4,8,1,3,337,558,9
1,1,16,5,4,393,617,20
1,1,49,2,5,447,919,32
2,322,56,11,6,483,441,19
