Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random
1,5,166,1038,1,48,287
6,93,158,1029,11,56,486
21,101,188,1098,29,79,1328
130,1106,1426,5,197,82,216
165,1107,341,1025,246,87,623
484,1108,1427,1,399,88,908
19,74,1338,1027,28,89,1114
109,86,345,401,542,103,1132
162,848,37,12,577,111,1233
884,858,1428,3,63,115,671
818,859,319,116,1690,122,229
146,860,1251,105,2146,131,110
416,861,18,2,589,152,1395
1067,30,1429,7,366,153,910
642,29,1041,14,530,161,356
1018,28,39,698,1102,165,1140
870,27,77,442,1770,181,59
765,26,282,23,1162,214,804
1139,25,1430,2,24,215,390
638,22,361,760,128,222,551
659,20,1431,1298,173,225,1385
1163,19,537,106,2166,229,702
1945,18,1432,6,432,243,25
1266,17,524,238,568,244,360
1946,16,1433,4,434,247,233
1928,15,326,148,2084,250,626
1,14,276,2,475,254,1432
383,12,189,11,947,279,723
73,11,202,71,1370,281,250
429,10,12,2,1405,287,554
357,9,200,1457,27,296,126
618,8,178,441,1393,345,134
571,7,193,1,745,379,390
61,6,165,6,453,401,541
579,5,187,2,819,412,1
486,4,1310,735,1024,440,1403
1146,3,107,202,16,454,255
496,2,1504,3,131,456,1143
908,1,910,632,1186,459,427
945,1,197,389,161,475,407
1,2,671,11,2,476,827
47,3,125,1,205,480,1320
166,4,968,10,110,486,1277
158,5,1225,9,284,488,1800
145,6,1301,3,160,491,1380
281,7,924,380,98,492,665
294,8,547,109,16,495,1508
419,9,1009,28,93,496,940
221,10,595,8,1598,503,471
436,11,1161,4,408,511,1443
459,12,1232,1,28,517,768
460,13,1269,358,425,527,1609
507,14,1116,5,106,535,1518
526,15,825,891,175,538,203
475,276,127,19,212,541,1666
638,3,537,387,310,563,211
700,2,1736,359,578,584,1545
4,1,239,501,102,589,567
980,1,281,1174,1370,596,483
1011,2,543,6,221,602,620
412,3,213,394,10,605,1962
1103,4,466,32,119,606,1714
1123,5,84,157,707,607,681
1158,6,57,370,1200,613,598
1180,16,177,690,720,614,1725
970,35,1737,7,721,615,1364
672,780,54,1,190,617,200
1279,1287,250,31,194,619,1822
569,2157,1092,26,1728,625,905
825,9,1317,1,55,627,725
740,8,1738,2,95,636,1185
1344,7,1739,327,96,639,83
415,6,1740,5,125,644,150
1473,5,294,22,114,651,1435
1487,4,1741,111,181,654,189
1501,3,1742,3,4,669,66
655,2,1743,35,16,670,1952
1954,1,1744,531,35,671,876
1955,1,99,480,1701,672,1264
1956,2,20,62,481,699,409
1957,3,1745,161,103,704,1154
1,4,851,114,456,718,1185
118,5,1320,4,182,719,1144
127,6,1377,8,130,734,968
181,354,1746,25,143,739,557
290,424,300,3,605,745,678
348,2019,1747,23,50,754,760
626,50,1748,1306,62,755,1528
864,45,1749,41,73,770,385
684,11,1707,51,302,771,622
932,10,1750,2,187,775,471
160,9,1751,18,189,808,892
182,8,1752,1813,10,816,1366
3,7,1753,1418,5,818,244
326,6,13,1,5,832,278
1119,5,1460,24,59,833,769
285,4,1235,537,133,836,794
625,3,217,16,338,837,204
58,2,1214,32,372,839,741
459,1,195,1304,140,840,858
828,1,190,1,193,841,99
1371,2,210,1318,453,842,427
361,3,174,8,368,843,28
1534,4,97,17,500,844,431
1089,5,214,1316,1125,845,305
1346,6,497,2,869,846,1548
428,7,336,5,1395,847,247
597,8,320,12,17,848,752
1286,9,507,10,427,849,236
251,10,524,2090,735,855,593
252,11,928,1809,1014,856,436
645,28,399,3,49,857,693
1059,105,489,620,1048,858,1184
424,133,986,1311,121,859,1345
478,256,1180,951,308,860,1164
1054,261,521,4,151,862,1348
572,262,43,1632,680,863,96
114,483,122,6,262,865,217
901,750,79,7,131,875,832
1191,766,52,11,415,879,252
1364,770,580,20,33,880,299
1256,771,840,15,535,881,596
475,772,514,9,147,883,103
609,773,534,14,1473,884,411
315,774,24,13,961,887,937
1134,14,1797,44,209,888,1465
942,13,590,22,350,891,487
2,12,89,1,412,892,479
215,11,1798,55,9,899,113
1412,10,43,1660,126,911,11
1087,9,21,2,14,912,294
491,8,45,1816,23,927,352
1432,7,70,54,169,956,478
1785,6,486,798,114,963,1165
342,5,166,1091,1235,1013,465
559,4,589,43,1434,1025,582
924,3,68,15,291,1037,189
937,2,18,27,236,1042,915
1720,1,424,212,329,1043,46
698,2,1543,1,582,1052,1295
786,3,18,1426,334,1056,772
144,1896,1799,163,427,1060,1088
1200,1897,15,6,925,1065,432
1820,19,288,1118,375,1071,737
543,18,124,25,1255,1076,428
903,17,341,462,282,1079,1218
279,16,541,117,531,1081,1435
831,15,403,197,66,1082,23
780,14,44,966,405,1107,373
1420,13,30,632,575,1120,583
1018,12,10,623,337,1127,639
1853,11,143,367,1410,1128,198
1625,9,189,44,1018,1129,1257
1532,8,248,23,586,1134,45
1207,7,174,803,136,1139,1496
791,6,596,4,551,1156,1236
234,4,1800,1210,475,1164,456
1830,3,291,72,301,1166,486
1203,2,193,613,600,1168,235
1452,1,247,971,99,1169,1473
1931,1,795,1092,18,1181,1278
1125,2,164,230,513,1182,548
624,73,20,89,352,1185,799
1365,204,261,263,16,1212,71
1216,1214,378,129,284,1216,454
494,1216,47,43,264,1266,1253
1224,1217,809,217,64,1268,834
1097,1218,126,38,233,1299,1207
680,1,99,64,174,1313,610
1449,1711,388,1258,218,1318,177
963,1712,340,264,542,1319,1072
800,86,66,1070,220,1320,436
1456,1,856,1151,77,1322,677
872,773,1544,73,330,1324,556
506,774,394,10,317,1325,221
1932,776,638,98,465,1342,1035
1933,777,6,1138,156,1345,864
468,778,48,612,328,1348,1011
967,779,1562,579,230,1349,58
1823,780,185,640,583,1350,1202
1807,5,1801,120,8,1370,753
41,7,6,1149,630,1371,118
1519,10,252,27,328,1386,483
1140,69,376,209,39,1391,476
1153,1715,20,28,424,1392,484
1210,1716,179,32,416,1398,514
1361,1717,718,695,540,1399,462
1447,73,98,263,323,1400,232
1799,70,824,21,554,1404,147
1,69,300,1251,312,1419,1498
13,62,827,11,535,1431,54
16,18,368,1137,355,1432,895
27,13,151,17,562,1433,53
32,97,1156,576,113,1434,997
45,232,463,26,594,1435,287
89,235,928,2,1,1444,311
99,248,616,269,171,1447,1143
102,281,1802,66,556,1449,1029
105,285,11,646,199,1469,1871
173,497,333,879,256,1475,786
183,502,566,771,521,1476,323
151,1844,550,12,1398,1477,1021
199,77,13,1073,285,1481,401
227,62,533,13,108,1482,1736
231,40,864,690,296,1512,223
241,29,680,1132,564,1516,1174
256,29,287,301,121,1519,627
275,30,39,77,59,1520,1860
303,31,35,208,1319,1534,883
139,33,411,1059,599,1536,1120
333,34,360,79,602,1542,451
360,35,610,965,534,1557,1890
177,36,1803,8,1484,1578,225
104,37,1804,1413,340,1581,158
287,38,1442,65,300,1582,835
398,39,69,1094,719,1584,1348
411,40,467,7,487,1585,789
131,41,478,1,911,1586,1836
450,42,29,18,61,1617,1660
578,43,363,455,1117,1618,1008
589,44,235,972,544,1621,1693
167,45,212,24,104,1622,1873
343,46,413,814,283,1623,756
821,47,650,446,256,1626,769
187,48,256,782,270,1627,983
355,151,356,373,350,1659,109
841,150,1372,602,882,1661,683
902,146,1375,5,63,1666,294
8,143,61,3,1275,1679,228
1027,141,54,19,734,1696,817
1035,137,49,1425,950,1700,92
428,134,136,856,1250,1701,856
1096,61,27,963,194,1712,1071
1103,57,383,380,2,1715,1518
441,14,40,9,213,1738,785
547,11,198,810,1047,1757,935
1179,10,1384,36,808,1760,968
956,9,46,348,868,1768,21
1194,8,41,1133,307,1770,35
639,7,1,1103,120,1771,982
974,6,36,1206,322,1798,1611
1163,5,33,4,1175,1877,253
381,4,29,1099,131,1881,318
1288,3,65,799,361,1891,70
415,2,18,7,670,1925,806
1109,1,820,711,11,1927,248
1370,1,620,304,19,1928,93
1379,2,1351,1,31,1930,954
1389,3,1373,788,36,1942,891
520,4,1385,712,42,2031,793
1191,5,1390,1091,62,2035,569
1412,6,1037,2,67,2037,990
1415,7,1751,12,70,2045,69
1429,8,1398,1730,74,2046,478
424,9,1627,117,122,2060,1705
197,10,886,3,1086,2067,1035
134,11,1034,33,102,2068,1721
251,12,1025,1118,143,2070,210
638,13,1057,702,166,2071,156
468,14,1429,153,171,2072,860
823,15,1752,669,178,2073,83
1542,16,1451,143,189,2074,1404
1140,17,1065,92,1,2075,1680
581,135,985,115,37,2076,9
1557,246,1021,14,95,2103,803
1570,248,1679,15,671,2106,1636
1571,250,1442,127,75,2107,1855
834,612,1753,14,126,2108,1157
1591,625,1377,20,71,2138,55
1604,626,802,901,10,2140,16
28,627,1040,27,107,2142,1679
1626,628,1628,1741,493,2146,1204
1639,243,1051,140,90,2167,845
553,244,1754,5,157,2168,591
376,245,1473,1764,22,2199,260
1037,247,1755,45,33,2200,1737
1665,255,1634,6,118,2201,1125
1687,465,1200,1784,678,2202,1412
1690,1935,1425,211,193,2203,165
1692,1936,1202,44,701,2204,1751
828,1937,1625,125,69,2205,63
1709,161,1631,1808,3,2206,380
1036,160,1756,1731,49,2207,1269
217,125,1757,13,144,2208,1678
97,99,651,15,1046,2209,846
1531,92,1403,16,139,2210,1684
1735,58,1758,1816,190,2211,194
1746,5,1461,1564,195,2212,486
1421,24,1407,16,151,2213,519
1260,29,1413,36,607,2214,412
1394,68,1472,148,45,2215,535
1760,106,1061,11,84,2216,1424
1668,117,1440,85,54,2217,1294
1217,118,1416,67,60,2218,1115
1299,119,1633,19,98,2219,1529
1772,120,1434,1134,1302,2220,815
15,122,737,18,94,2221,1499
190,123,695,1491,120,2222,213
1786,124,1301,46,499,2223,1280
512,125,1362,59,203,2224,50
456,126,1457,155,183,2225,264
1129,127,1759,9,188,2226,1861
431,128,1760,247,192,2227,1391
1800,129,1357,1001,205,2228,88
1289,130,1069,10,50,2229,26
903,131,1761,175,6,2230,114
1698,132,1762,26,14,2231,117
1620,23,1763,234,32,2232,1533
1820,7,1091,75,131,2233,212
892,5,1764,715,140,2234,1314
1826,89,980,1268,92,2235,266
111,192,1027,703,185,2236,628
1834,449,1411,8,59,2237,733
223,1920,1765,50,173,2238,1317
626,1921,1211,828,725,8,650
1843,1922,1766,501,108,47,1552
1845,1923,1467,385,15,63,752
1846,1924,91,24,25,67,1531
776,1,1767,9,123,81,1355
1273,569,1768,8,136,88,1867
1483,1943,1769,982,137,100,938
1854,1944,1044,1,6,114,1288
1856,1945,1770,322,154,137,440
1043,1946,1771,88,159,152,564
645,187,95,42,35,153,580
1662,168,1772,859,174,160,82
2215,139,1773,4,184,164,262
2216,124,1774,117,655,184,1602
2217,122,1520,10,1163,189,1063
1239,117,1053,50,152,198,1913
2218,115,1775,2,200,200,1551
1123,110,1776,3,3,226,1802
1633,109,1777,5,5,228,65
219,105,1778,25,7,240,487
2219,104,1779,477,198,242,1714
1599,103,1780,428,27,243,1276
2220,82,1468,7,149,249,1915
1271,62,71,6,184,258,417
2221,60,506,6,445,278,264
2222,52,1475,3,99,279,220
946,51,1781,3,43,280,49
2223,50,1782,5,51,287,1196
2224,48,1231,1,884,295,1620
