Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,2,1,181,1,2,1996,216
2,1,2,228,2,3,6766,217
3,2,1,308,3,6,3748,1
4,3,3,104,4,9,6504,218
5,5,4,90,5,12,8587,219
6,8,5,102,6,14,4913,220
7,9,6,309,7,15,3350,221
8,10,7,373,8,17,2312,222
9,13,8,179,9,18,347,223
10,14,9,227,10,23,3697,224
11,15,10,306,11,24,6336,225
12,16,11,177,12,26,574,226
13,32,12,87,13,28,6291,227
14,34,13,18139,761,31,7092,480
15,35,14,97,14,34,5523,228
16,40,15,307,15,36,4165,229
17,43,16,372,16,37,9862,230
18,46,17,178,17,40,11293,231
19,50,18,226,18,42,2902,232
20,54,19,304,19,44,4793,233
21,55,20,99,20,47,2814,234
22,57,21,84,21,52,1551,235
23,158,22,94,22,54,15139,236
24,166,23,305,23,56,3578,237
25,170,24,371,24,57,5749,238
26,174,25,101,25,60,10847,239
27,180,26,189,26,62,3976,240
28,219,27,231,27,67,8777,241
29,226,28,317,28,68,13222,242
30,276,29,115,29,69,484,243
31,343,30,19652,3846,71,5962,423
32,344,31,100,30,74,4431,244
33,346,32,109,31,78,1026,245
34,351,33,313,32,83,2525,246
35,358,34,376,33,84,1322,247
36,363,35,185,34,85,7002,248
37,367,36,230,35,87,2815,249
38,388,37,315,36,89,9581,250
39,389,38,374,37,91,5057,251
40,390,39,98,38,95,17216,252
41,391,40,107,39,99,3984,253
42,392,41,311,40,101,6834,254
43,402,42,375,41,107,11567,255
44,407,43,187,42,113,6250,256
45,412,44,229,43,119,438,257
46,428,45,312,44,120,15779,258
47,434,46,401,45,121,4356,396
48,447,47,113,46,122,4688,259
49,449,48,95,47,128,8713,260
50,476,49,105,48,129,3632,261
51,477,50,310,49,130,3649,262
52,478,51,81,50,132,8278,263
53,480,52,296,51,133,9643,264
54,481,53,89,52,138,6050,265
55,482,54,408,53,154,1120,411
56,486,55,78,54,156,3567,266
57,488,56,1010,4846,157,11300,456
58,492,57,85,55,177,996,267
59,495,58,297,56,178,8554,268
60,505,59,367,57,181,6245,269
61,508,60,1801,4848,182,16098,426
62,512,61,173,58,183,11065,270
63,649,62,400,59,184,13921,422
64,662,63,221,60,186,16030,271
65,1385,64,293,61,187,14803,272
66,1633,65,74,62,188,14661,273
67,1635,66,19699,3847,191,4451,474
68,1643,67,69,63,195,16729,274
69,1863,68,291,64,197,12594,275
70,1914,69,295,65,204,645,276
71,2010,70,366,66,206,8728,277
72,2046,71,172,67,207,3271,278
73,2047,72,220,68,208,3258,279
74,2601,73,292,69,212,15586,280
75,2884,74,394,70,229,16201,414
76,2885,75,71,71,230,10920,281
77,2886,76,66,72,232,4986,282
78,2887,77,80,73,233,6880,283
79,2888,78,294,74,234,4506,284
80,2889,79,365,75,237,13478,285
81,2890,80,171,76,239,13075,286
82,2900,81,219,78,246,2290,287
83,2916,82,86,79,247,922,288
84,2918,83,225,80,248,6058,289
85,2919,84,302,81,250,2507,290
86,2920,85,1290,6511,253,5924,475
87,2921,86,96,82,254,6629,291
88,2923,87,82,83,267,4327,292
89,2924,88,93,84,270,16635,293
90,2925,89,8248,9123,293,3362,421
91,2926,90,402,85,301,3420,424
92,2927,91,8246,9126,324,4524,389
93,2928,92,303,86,327,6035,294
94,2929,93,370,87,415,12825,295
95,2930,94,392,88,416,5979,405
96,2931,95,176,89,418,6230,296
97,2933,96,224,90,419,13688,297
98,2934,97,299,91,420,11728,298
99,2935,98,92,92,422,14539,299
100,2936,99,222,93,447,149,300
101,2937,100,91,94,452,1229,301
102,2938,101,301,95,453,4653,302
103,2939,102,412,96,454,569,437
104,2940,103,369,97,455,5908,303
105,2941,104,175,98,458,2415,304
106,2942,105,223,99,462,2453,305
107,2943,106,298,100,463,11130,306
108,2944,107,83,101,465,11491,307
109,2945,108,76,102,468,9040,308
110,2946,109,88,103,469,14804,309
111,2947,110,19967,3850,473,8357,450
112,5371,111,300,104,476,3244,310
113,5446,112,368,105,483,3925,311
114,5447,113,174,106,485,860,312
115,5448,114,111,107,486,12319,387
116,5481,115,1873,4886,488,13088,394
117,5492,116,2050,4888,544,5008,469
118,5493,117,141,108,581,5072,386
119,5494,118,335,109,583,8142,385
120,5496,119,19595,3851,596,3577,460
121,5497,120,386,110,599,1872,384
122,5498,121,207,111,606,1504,383
123,5499,122,403,112,620,4702,403
124,5500,123,240,113,624,639,382
125,5501,124,333,114,664,3711,381
126,5502,125,138,115,667,1853,380
127,5503,126,1377,4897,668,5639,428
128,5504,127,19650,3853,671,3261,407
129,5505,128,128,116,672,3249,379
130,5506,129,3123,117,673,617,470
131,5507,130,139,118,674,5680,378
132,5508,131,332,119,677,8671,377
133,5509,132,1123,4902,679,4148,477
134,6054,133,385,120,680,1589,376
135,17696,134,2158,10010,684,13616,453
136,17786,135,133,121,685,9800,375
137,18029,136,239,122,686,5733,374
138,18132,137,19654,3854,688,4201,415
139,18313,138,331,123,690,15717,373
140,18389,139,136,124,691,4415,372
141,18514,140,120,125,692,12688,371
142,18527,141,137,126,694,1295,370
143,18754,142,329,127,696,7902,369
144,18776,143,384,128,697,7307,368
145,18813,144,204,129,698,6641,367
146,18814,145,238,130,699,9974,366
147,18830,146,330,131,700,5806,365
148,18847,147,134,132,703,16744,364
149,18871,148,119,133,713,15385,363
150,18878,149,206,134,717,3825,362
151,18894,150,146,135,726,2357,361
152,18930,151,340,136,735,16890,360
153,18952,152,389,137,736,10222,359
154,18963,153,213,138,741,6631,358
155,18980,154,243,139,742,7491,357
156,19445,155,339,140,743,4100,356
157,19461,156,143,141,744,3189,355
158,19471,157,131,142,745,1816,354
159,19871,158,145,143,746,3983,353
160,19947,159,338,144,747,409,352
161,19999,160,388,145,748,1001,351
162,20449,161,126,146,749,12893,350
163,21288,162,242,147,752,3103,349
164,21300,163,417,9197,755,10057,457
165,21401,164,411,148,757,6001,431
166,21415,165,6660,968,758,6975,399
167,21430,166,336,149,760,4700,348
168,21519,167,396,150,761,899,393
169,21708,168,142,151,764,14741,347
170,22094,169,130,152,765,12303,346
171,22129,170,144,153,766,16467,345
172,22469,171,15267,10237,768,3076,445
173,22511,172,337,154,772,5778,344
174,22516,173,387,155,773,2843,343
175,22597,174,208,156,778,5528,342
176,22641,175,241,157,788,2269,341
177,22694,176,334,158,790,15333,340
178,22723,177,140,159,793,3682,339
179,22822,178,15058,10238,818,1949,484
180,23017,179,1929,11180,819,4678,465
181,23390,180,236,160,820,13032,338
182,23482,181,7782,9218,821,2070,472
183,4,182,380,161,823,2183,337
184,3,183,195,162,825,3392,336
185,2,184,234,163,826,5184,335
186,1,185,321,164,828,492,334
187,1,186,123,165,829,7533,333
188,2,187,19602,3855,830,14729,468
189,3,188,108,166,831,2032,332
190,4,189,135,167,832,3508,331
191,5,190,320,168,833,4634,330
192,6,191,379,169,836,12059,329
193,7,192,194,170,837,16930,328
194,8,193,233,171,838,11993,327
195,9,194,377,172,839,5906,326
196,10,195,121,173,840,2808,325
197,11,196,106,174,841,4458,324
198,12,197,114,175,842,12807,323
199,13,198,316,176,843,4949,322
200,14,199,378,177,844,3468,321
201,15,200,192,178,845,3852,320
202,16,201,390,179,846,1248,404
203,17,202,7416,1006,847,2107,400
204,18,203,232,180,848,6815,319
205,19,204,1395,4961,849,12848,446
206,20,205,318,181,850,1640,318
207,21,206,1364,4964,855,11143,392
208,23,207,118,182,856,4176,317
209,24,208,103,183,858,12322,316
210,25,209,112,184,860,16870,315
211,159,210,1104,4972,863,3314,454
212,160,211,314,185,871,10407,314
213,161,212,319,186,874,421,313
214,162,213,326,187,876,3176,388
215,163,214,2090,1020,877,5905,455
216,164,215,383,188,880,16258,1
217,165,216,4635,14256,881,271,417
218,166,217,201,189,885,4028,213
219,167,218,237,190,886,3532,212
220,168,219,327,191,888,6156,211
221,169,220,129,192,894,274,210
222,170,221,116,193,896,3941,209
223,171,222,132,194,901,5546,208
224,172,223,325,195,904,3499,207
225,173,224,399,196,938,5277,395
226,174,225,382,197,976,3683,206
227,175,226,199,198,978,11246,205
228,176,227,323,199,983,8069,204
229,177,228,328,200,985,7802,203
230,178,229,127,201,986,267,202
231,179,230,117,202,987,13231,201
232,180,231,124,203,988,2722,200
233,181,232,324,204,989,4558,199
234,182,233,381,205,991,4828,198
235,183,234,397,206,994,5474,419
236,184,235,13782,3857,995,8224,444
237,185,236,197,207,998,374,197
238,186,237,7769,9275,999,14917,467
239,187,238,1502,11184,1000,15205,439
240,188,239,391,208,1002,9732,406
241,189,240,235,209,1005,389,196
242,190,241,322,210,1006,5515,195
243,191,242,125,211,1008,1018,194
244,192,243,110,212,1009,9108,193
245,193,244,398,213,1010,12635,410
246,194,245,122,214,1011,1339,192
247,195,246,289,215,1013,6930,191
248,196,247,20369,15060,1015,12020,442
249,197,248,19695,3858,1016,12086,471
250,198,249,349,216,1017,5178,190
251,199,250,156,217,1019,13120,189
252,200,251,997,5016,1023,4447,440
253,201,252,8637,15919,1025,5359,463
254,202,253,193,219,1026,2177,188
255,203,254,259,220,1027,966,187
256,204,255,25,221,1028,9219,186
257,6,256,18,222,1029,10856,185
258,5,257,19600,9295,1030,5135,461
259,3,258,36,223,1032,4024,184
260,2,259,263,224,1034,4487,183
261,3,260,348,225,1035,74,182
262,7,261,155,226,1036,5643,181
263,10,262,404,227,1037,14328,408
264,11,263,258,228,1038,14993,180
265,15,264,7408,1071,1040,4237,420
266,18,265,1640,5035,1041,4803,483
267,21,266,256,229,1092,8520,179
268,22,267,1822,3859,1097,7709,473
269,24,268,23,230,1098,6220,178
270,25,269,16,231,1099,1565,177
271,26,270,34,232,1102,5814,176
272,27,271,262,233,1103,3096,175
273,28,272,347,234,1104,4075,174
274,29,273,154,235,1107,11154,173
275,31,274,190,236,1108,11087,172
276,32,275,254,237,1109,1297,171
277,33,276,21,238,1111,1892,170
278,35,277,14,239,1114,8582,169
279,36,278,3121,240,1116,17077,447
280,37,279,6337,1086,1123,132,391
281,38,280,32,241,1128,3771,168
282,39,281,191,242,1135,1533,167
283,40,282,270,243,1136,3966,166
284,41,283,415,9325,1138,6064,458
285,42,284,7453,5050,1140,11071,430
286,43,285,8068,9328,1148,14130,448
287,44,286,2314,5056,1149,5943,398
288,48,287,352,244,1168,13351,165
289,49,288,159,245,1171,6356,164
290,52,289,200,246,1172,17048,163
291,56,290,264,247,1184,13057,162
292,58,291,30,248,1185,5904,161
293,60,292,26,249,1187,8525,160
294,64,293,49,250,1190,8391,159
295,65,294,268,251,1196,2387,158
296,66,295,407,252,1241,10228,409
297,68,296,351,253,1270,389,157
298,69,297,158,254,1276,4141,156
299,71,298,40,255,1286,5683,155
300,84,299,261,256,1293,863,154
301,154,300,29,257,1350,4115,153
302,158,301,13494,16007,1353,298,482
303,161,302,24,258,1354,644,152
304,162,303,45,259,1370,16280,151
305,165,304,266,260,1390,14038,150
306,167,305,350,261,1436,17039,149
307,168,306,1894,5070,1448,9609,436
308,171,307,157,262,1455,10340,148
309,172,308,196,263,1463,3387,147
310,173,309,260,264,1464,3,146
311,175,310,27,265,1468,258,145
312,176,311,20,266,1477,3542,144
313,177,312,252,267,1481,114,143
314,178,313,1378,5082,1486,1711,434
315,190,314,150,268,1488,8808,142
316,204,315,183,269,1499,12309,141
317,216,316,248,270,1501,8502,140
318,223,317,8225,9361,1623,1375,401
319,230,318,13,271,1745,7541,139
320,259,319,3,272,1747,16521,138
321,261,320,9,273,1748,3963,137
322,262,321,249,274,1911,10680,136
323,263,322,343,275,1915,13253,135
324,264,323,149,276,1918,4594,134
325,265,324,8247,9370,1939,8350,390
326,267,325,182,277,1953,576,133
327,269,326,246,278,1978,8346,132
328,270,327,1011,5097,2001,2650,479
329,271,328,18314,10248,2106,3393,441
330,273,329,147,279,2118,4323,131
331,290,330,2,280,2121,14737,130
332,339,331,7,281,2125,561,129
333,340,332,247,282,2133,1547,128
334,345,333,7793,9379,2144,1509,462
335,348,334,342,283,2147,5967,127
336,349,335,148,284,2149,3405,126
337,350,336,180,285,2150,9520,125
338,355,337,245,286,2151,5899,124
339,358,338,6,287,2154,15432,123
340,359,339,1,288,2156,224,122
341,361,340,5,289,2157,14787,121
342,362,341,244,290,2160,17215,120
343,363,342,988,5115,2162,11178,425
344,364,343,409,9385,2163,13508,438
345,368,344,341,291,2166,17205,119
346,371,345,10,292,2173,67,118
347,372,346,346,293,2179,7656,117
348,384,347,153,294,2196,536,116
349,393,348,188,295,2197,4876,115
350,394,349,253,296,2234,1795,114
351,395,350,19,297,2238,1775,113
352,397,351,11,298,2241,5750,112
353,399,352,22,299,2359,13839,111
354,401,353,255,300,2361,7899,110
355,411,354,345,301,2363,14991,109
356,413,355,152,302,2364,7390,108
357,419,356,186,303,2365,2892,107
358,425,357,6110,1203,2366,8574,413
359,428,358,17,304,2372,11397,106
360,429,359,1102,16382,2376,9749,466
361,472,360,8,305,2380,1260,105
362,475,361,44,306,2385,9303,104
363,476,362,257,307,2431,5861,103
364,478,363,344,308,2432,6799,102
365,479,364,151,309,2437,505,101
366,480,365,7439,1219,2440,3247,429
367,481,366,184,310,2441,11504,100
368,484,367,250,311,2442,4610,99
369,485,368,15,312,2444,13081,98
370,486,369,4,313,2445,797,97
371,487,370,12,314,2446,6479,96
372,488,371,251,315,2447,2723,95
373,489,372,198,316,2448,13603,94
374,490,373,53,317,2449,222,93
375,493,374,395,318,2457,4377,418
376,494,375,55,319,2458,9025,92
377,495,376,73,320,2466,4035,91
378,496,377,284,321,2468,6429,90
379,497,378,361,322,2474,16426,89
380,498,379,167,323,2475,2088,88
381,499,380,215,324,2476,9979,87
382,500,381,279,325,2477,7275,86
383,501,382,51,326,2478,1839,85
384,502,383,1294,5150,2692,4418,481
385,503,384,47,327,2693,16707,84
386,504,385,72,328,2694,312,83
387,505,386,48,329,2695,3879,82
388,506,387,360,330,2696,13207,81
389,509,388,166,331,2697,3408,80
390,511,389,214,332,2698,4002,79
391,512,390,277,333,2699,15375,78
392,513,391,50,334,2700,10881,77
393,514,392,58,335,2702,6005,76
394,546,393,70,336,2705,4509,75
395,554,394,282,337,2716,14226,74
396,555,395,359,338,2728,9762,73
397,556,396,165,339,2729,5151,72
398,637,397,212,340,2812,15733,71
399,638,398,276,341,2817,1602,70
400,639,399,283,342,2821,3372,69
401,640,400,7466,1273,2823,6254,452
402,641,401,68,343,2872,14233,68
403,642,402,1188,5165,2896,14467,476
404,643,403,63,344,2898,2864,67
405,644,404,79,345,2899,1535,66
406,647,405,290,346,2900,3972,65
407,648,406,364,347,2901,3665,64
408,649,407,211,348,2902,10182,63
409,656,408,170,349,2905,11775,62
410,657,409,218,350,2911,10543,61
411,660,410,288,351,2912,11724,60
412,663,411,62,352,2920,15686,59
413,668,412,61,353,2923,3707,58
414,669,413,405,354,2927,1003,402
415,672,414,410,355,2928,1979,432
416,766,415,77,356,2932,1450,57
417,767,416,286,357,2933,5322,56
418,768,417,363,358,2935,9641,55
419,769,418,169,359,2938,5350,54
420,770,419,217,360,2939,2111,53
421,771,420,287,361,2943,4640,52
422,772,421,64,362,2944,11115,51
423,774,422,2159,10011,2945,15523,435
424,775,423,57,365,2954,2860,50
425,777,424,416,9502,2965,2304,427
426,778,425,406,366,2970,302,416
427,779,426,75,367,2975,4942,49
428,780,427,285,368,2976,6764,48
429,781,428,362,369,2984,1214,47
430,782,429,15199,10252,2986,9220,397
431,783,430,168,370,2989,9307,46
432,784,431,1399,5189,2991,6225,459
433,785,432,216,371,2993,14597,45
434,786,433,357,372,3002,15143,44
435,787,434,59,373,3005,16142,43
436,788,435,275,374,3011,15989,42
437,790,436,355,375,3019,2506,41
438,791,437,162,376,3028,12955,40
439,792,438,1912,5194,3032,7772,443
440,793,439,205,377,3033,5202,39
441,795,440,269,378,3206,4683,38
442,796,441,38,379,3207,8354,37
443,797,442,35,380,3208,3546,36
444,798,443,56,381,3209,4266,35
445,799,444,272,382,3210,5777,34
446,800,445,393,383,3211,7845,412
447,803,446,354,384,3213,16263,33
448,804,447,52,385,3225,909,32
449,805,448,203,386,3246,1006,31
450,806,449,267,387,3373,13713,30
451,807,450,1173,5208,3375,3453,478
452,808,451,6827,1384,3647,1909,485
453,811,452,31,388,3846,5833,29
454,829,453,413,9549,3851,4585,451
455,831,454,54,389,3853,10109,28
456,833,455,271,390,3864,8898,27
457,834,456,18513,10254,3866,7095,449
458,837,457,353,391,3867,12394,26
459,852,458,160,392,3908,14381,25
460,929,459,202,393,3968,12317,24
461,930,460,265,394,3973,13963,23
462,931,461,33,395,4026,7202,22
463,932,462,28,396,4027,16838,21
464,933,463,161,397,4028,13285,20
465,934,464,42,398,4029,2645,19
466,935,465,1195,5220,4031,1975,464
467,936,466,65,399,4032,2567,18
468,937,467,281,400,4110,1325,17
469,938,468,358,401,4118,7144,16
470,939,469,164,402,4131,4561,15
471,940,470,210,403,4172,10688,14
472,941,471,274,404,4214,9395,13
473,942,472,46,405,4226,12996,12
474,943,473,41,406,4247,1331,11
475,944,474,67,407,4455,8860,10
476,946,475,280,408,4456,224,9
477,947,476,37,409,4457,2347,8
478,948,477,163,410,4458,9432,7
