Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM strict
1,2,370,576,1,1,1062,466
23,12,289,1,1349,2,108,98
27,13,280,66,16,3,1645,248
32,17,258,2032,20,5,123,253
33,22,256,2018,23,6,8,254
34,23,248,1964,24,8,229,255
35,24,238,2041,27,9,2040,258
133,25,122,24,342,11,33,987
134,26,29,11,717,12,1077,199
1,28,5,13,136,13,496,135
2,29,291,1,169,14,2045,5
3,30,381,62,96,19,1900,53
4,31,213,1966,97,20,1768,105
1,34,42,1952,1363,21,1653,227
96,35,183,1898,1471,23,1416,216
97,39,177,1975,1477,24,395,108
731,40,124,1971,464,26,1308,260
73,64,116,68,1398,27,292,319
75,65,1176,315,117,28,1367,257
76,67,114,69,148,29,1716,121
77,68,1071,14,1244,30,115,123
1,69,92,68,1433,33,352,453
2,70,87,9,1932,34,2163,237
940,73,239,5,1394,35,460,67
1,74,1163,55,1430,37,1601,126
274,79,113,54,310,40,237,580
119,80,118,23,320,42,2048,277
1,81,2,19,127,44,345,1
2,82,3,2267,129,45,286,12
3,83,381,1364,114,48,1687,182
4,87,313,1,290,49,1364,708
5,88,352,77,1410,53,1811,594
6,89,380,73,125,55,108,698
7,92,14,78,1499,58,447,41
8,180,177,1725,25,60,1966,675
9,197,391,2042,1422,61,2148,599
10,199,157,4,811,65,1703,722
11,200,22,110,812,66,1101,7
1,205,397,13,173,67,1110,9
2,215,404,3,174,69,446,246
3,264,413,486,175,70,550,379
4,383,420,1480,362,73,1218,544
5,404,266,1466,176,76,1103,453
6,411,270,1412,177,77,866,574
7,463,275,1489,178,80,945,590
8,464,281,554,1363,83,842,593
9,549,292,1,467,84,1067,622
10,553,191,4,469,86,560,621
10,677,428,10,471,87,664,635
11,682,431,567,475,90,1952,715
334,906,438,814,479,95,293,508
480,908,296,165,481,98,1007,509
481,981,276,84,1209,101,662,605
482,985,301,3,116,103,844,472
422,1,306,3,329,105,396,297
172,2,312,11,1437,106,334,237
489,6,441,87,555,109,1506,94
490,11,324,161,1447,112,5,561
491,12,174,40,652,113,1402,312
492,16,6,17,653,116,95,288
493,21,7,475,666,119,51,366
494,22,335,524,668,120,24,356
1,23,339,509,671,123,1755,352
333,24,342,245,314,124,1518,566
479,25,344,6,17,129,448,100
480,27,348,14,1358,131,510,537
481,28,358,2,357,133,319,528
171,29,382,8,359,140,62,529
820,30,448,622,363,144,592,39
821,33,378,254,373,145,687,657
699,34,373,201,80,146,1407,18
700,38,450,103,213,147,101,24
488,63,906,243,3,149,1344,702
489,64,6,88,6,151,1001,1
915,66,112,1619,9,152,1054,342
916,67,415,197,469,155,512,550
641,68,892,98,176,162,1306,669
490,69,389,42,180,163,63,3
491,72,912,113,3,164,406,1283
492,73,255,1418,138,175,353,703
493,78,702,144,139,179,90,245
1,80,258,57,200,180,1497,256
563,81,921,2,36,181,1134,1209
383,82,43,1933,1071,184,998,409
7,85,34,63,1072,192,145,410
146,86,33,1411,1073,200,106,408
2,87,32,1421,1074,214,465,407
480,179,1120,2014,31,218,419,189
170,196,1454,272,186,219,1851,1041
171,198,1455,367,199,222,1938,1049
5,199,1547,326,17,223,469,705
6,343,1548,603,271,226,917,1238
221,382,1121,616,273,229,2027,816
331,403,1123,50,274,230,2120,815
170,548,1124,117,276,234,367,1165
410,552,1125,37,278,238,1624,1111
487,905,1468,49,282,240,75,1112
1,907,991,1982,327,243,1073,1113
2,984,1295,15,329,246,1779,1193
3,20,392,279,177,247,1542,1174
854,21,118,1068,3,251,503,341
322,27,421,285,463,252,634,551
220,32,886,1056,170,253,293,668
330,33,383,224,174,254,1234,2
169,34,1076,239,39,259,1630,256
409,35,303,105,460,264,1669,892
486,36,528,1067,1105,265,1878,794
1,62,650,1302,176,266,1820,754
2,63,52,2002,379,275,518,24
853,72,1077,1709,382,279,290,212
321,75,66,1166,42,280,2107,220
219,76,69,2029,390,281,637,780
329,77,637,2025,215,286,1236,257
168,78,747,2030,87,287,23,339
408,79,501,4,171,295,1825,292
485,83,74,241,665,298,146,988
1,85,67,1396,114,299,1885,63
852,86,354,1406,282,300,1314,67
320,87,535,1999,123,306,1360,289
218,90,166,257,124,310,72,552
328,91,236,352,636,314,159,565
167,93,233,311,657,316,1310,81
407,198,68,588,431,322,862,145
484,203,69,601,610,326,248,93
851,551,299,35,328,332,341,104
319,978,70,102,327,337,1412,109
7,979,335,22,311,341,155,90
474,982,292,34,309,344,1704,129
328,19,284,213,307,348,45,86
165,36,775,1967,305,353,706,148
