Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,2,515,1,1,1,1667,249
1,21,995,1,1,2,603,322
2485,22,2,1,188,4,7489,32
2486,264,9,2,189,5,463,31
2487,374,1311,3,190,9,1672,1119
2488,376,1304,4,191,10,6113,1129
1,385,1,1,1,15,7026,2
2,428,2,2,2,19,5817,1
3,430,12,3,346,21,1376,44
4,432,1,1,3,22,1209,5
1,433,1,2,1,26,5650,1
3,434,2,1,2,27,4441,7
4,435,9,1112,3,29,1271,99
5,436,8,1,697,33,5777,101
6,437,14,2,4,38,535,88
7,438,16,1111,5,39,6593,93
8,439,19,1111,698,40,4506,46
9,626,21,1,6,43,5322,82
10,639,23,19,7,45,1621,79
11,797,25,5776,699,47,2746,70
12,798,27,64,8,48,2920,96
13,799,29,3956,9,50,1702,57
14,800,32,5518,10,54,3343,95
15,845,33,322,11,55,1913,98
16,846,34,21,12,60,3165,94
17,862,35,5519,13,65,689,97
18,864,37,17,14,66,3657,91
19,865,39,2531,15,74,1161,60
20,866,40,1,16,77,6717,87
21,867,41,220,17,78,6005,78
22,870,42,18,18,81,2867,89
23,871,44,307,19,85,3914,61
24,872,46,63,20,86,2525,76
25,873,48,73,21,87,141,83
26,874,50,323,22,91,3208,74
27,875,52,321,23,96,2338,72
28,876,43,351,24,98,5256,80
29,877,54,314,25,108,4514,68
30,878,45,68,26,112,2593,90
31,879,56,75,27,117,3773,67
32,880,58,69,28,118,1352,71
33,881,60,18,29,119,4523,66
34,882,47,67,30,126,1323,85
35,883,62,22,31,127,3032,92
36,912,49,15,32,144,3000,73
37,915,64,109,33,145,1646,62
38,916,66,17,34,146,6098,69
39,917,68,70,35,150,519,63
40,918,70,66,36,152,2359,86
41,919,72,4,37,153,2808,77
42,920,51,15,38,161,5774,59
43,921,74,292,39,162,6469,75
44,965,57,19,360,164,5871,55
45,1223,76,74,40,165,2546,64
46,1226,73,6,362,172,6126,48
47,1231,78,112,364,173,6352,29
48,1232,3,111,41,183,5796,4
49,1857,4,320,42,184,2723,5
1,2357,10,325,344,186,2222,43
2,2362,3,315,1,201,1101,6
49,2366,14,252,365,202,2993,36
49,2372,11,338,22,209,6738,9
50,2373,17,6,24,210,210,7
51,2739,19,4,25,211,5804,14
52,2937,20,1,26,213,6312,8
53,2938,98,1110,27,233,816,376
28,2942,34,61,319,234,2350,48
54,4162,48,3,28,236,6443,3
55,4163,50,35,30,252,4994,1
56,5510,52,12,31,253,1054,5
57,5511,108,42,32,254,6295,399
58,5512,189,38,33,255,6973,360
59,5513,195,1095,34,270,4806,358
60,5514,209,4,35,271,8464,305
60,5515,4,29,44,292,3341,8
45,1,5,36,39,293,484,3
46,1,6,5382,40,294,3775,2
61,20,1,39,45,295,5926,1
62,1225,7,1,47,296,5376,4
63,2334,8,28,49,297,542,1
100,2335,549,962,1956,319,130,413
101,2336,550,5,1957,320,5532,421
103,2337,551,3,1959,321,482,518
104,2338,456,1,1960,322,5490,534
105,2339,552,8,1961,323,2798,500
106,2340,553,2,1962,327,2874,333
107,2341,554,3543,1963,355,5610,444
108,2342,555,3541,1964,356,2018,522
