Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1,2,157,35,1,43,2676,183
2,1,91,1,2,2574,3194,77
3,1,165,10,3,2575,3014,127
3,41,254,2,3,4660,511,46
4,3,255,3,4,4661,2422,29
5,2,256,1,6,4662,2415,27
6,1,257,1,8,4677,1971,93
7,4,258,35,10,4697,1774,90
7,3,100,4,11,4708,1128,114
8,2,107,10,12,4712,1645,78
9,1,59,3,89,4715,226,83
10,5,111,20,13,4716,461,98
10,3644,56,37,13,4744,1345,219
11,3645,74,1,14,4745,2027,133
512,3646,86,1,42,4746,1072,151
501,5,107,2,39,4747,833,287
505,1,113,5,46,4748,2065,213
506,6,89,1162,40,4755,1299,91
562,5,93,5,42,4940,1970,153
563,2,104,2,2028,1091,712,145
563,1,110,1,34,1093,1330,120
521,2,185,1,61,1174,388,128
563,3,186,1121,62,1175,665,129
564,2,39,3,160,1176,1926,45
565,1,65,1,131,1177,2268,80
559,1,185,63,2476,1178,840,171
610,3,186,1,62,1179,3328,155
1,4,187,1,63,1688,339,110
2,8,20,3,59,2947,3408,217
3,9,125,2,63,4558,337,49
4,13,254,4,43,4928,2318,267
4,14,344,4,5,4931,4158,227
5,15,292,1440,1,4934,1177,329
5,16,374,13,2,4935,2985,423
4,3,370,72,3,4936,1423,421
4,2,297,1090,4,4937,1547,328
5,1,372,64,4,4938,1895,531
3863,2,590,1,5,20,772,310
3816,3,258,2,5,37,1134,157
3907,4,262,1,4,38,299,159
3525,6,339,2548,4,62,707,424
3528,5,342,6,5,95,2041,217
3529,4,555,6,45,153,243,178
3530,3,303,1,35,3188,274,528
3480,4541,562,2,188,3189,3077,279
3531,3,564,3,50,3193,320,179
3938,4,203,2,60,3667,342,342
1,5,254,24,92,3668,1051,83
1,6,223,1,93,4378,636,372
2,7,269,2,94,4379,3109,98
3637,8,272,3,95,4760,2856,100
3626,9,279,7,87,4306,35,262
3637,1,50,1,96,4307,3927,193
3568,2,32,2,89,4308,152,14
3569,4,440,3,73,4355,2625,227
3751,7,443,2,181,4410,532,476
1,10,233,1,1,4836,1463,211
1,11,655,3,1,4912,4859,380
2,3784,603,20,2,4916,2847,245
4908,5,393,1,143,4919,603,174
1,2,681,43,157,4920,912,369
1,1,440,107,146,4922,2478,659
2,1,357,34,157,4923,981,124
3,2,220,4,117,4924,686,654
4,4537,210,77,118,4925,1119,655
5,4247,363,56,7,1178,1375,125
6,4532,611,1,177,1294,570,126
7,3,616,1,178,1295,3686,127
176,4,1,7,1,1296,2037,1
153,4531,1,1,1,1297,344,1
57,4,2,1,2,4902,88,2
233,3757,1,2,159,4903,736,1
232,4,304,131,1,4904,2855,65
165,5,309,1,2,4905,1227,134
1,6,316,1,4,4906,999,135
2,3773,209,136,5,4907,1162,358
2,1,321,5,7,4908,2331,136
3,9,325,2,9,4909,3319,64
4,4526,331,6,10,4910,4424,231
5,29,336,1,12,3739,1046,138
5,28,33,2,148,3805,4491,94
31,1,130,1,156,3806,2212,296
