Natural,Metis,DegSort,RCM-strict,Gorder,Grappolo,Random,,Grappolo-RCM,Rabbit,Slashburn,,ND
605,1081,1067,788,1119,1125,1131,,1108,1110,1132,,1090
1122,1103,1038,108,1130,846,1167,,1109,903,1173,,1134
1278,648,1202,343,1120,847,1449,,1440,1308,1466,,1437
1854,1800,1835,1470,1857,1740,1856,,1781,1825,1857,,1837
2419,2229,2392,1675,2412,1979,2424,,2332,2269,2425,,2381
2244,1881,2882,1782,2886,2324,2733,,2345,2790,2887,,2296
4908,3482,4824,659,4727,4543,4866,,4659,4270,4940,,4906
10544,10070,9476,4160,10515,10346,10655,,9956,10215,10679,,10597
17099,18566,17812,13570,18641,17624,18728,,17397,17875,17900,,18739
26172,25894,26069,20671,26470,23954,26354,,26240,26443,26474,,26395
23096,22721,23109,13216,23092,23107,23122,,22972,23006,23165,,23088
2229,2185,2233,1533,2205,2166,2227,,2196,2160,2238,,2190
2911,2847,2903,1671,2920,2826,2907,,2613,2932,2938,,2928
62355,62344,62333,41245,62369,62338,62544,,62393,62380,62585,,62390
22143,23115,23572,14608,23601,21804,23338,,22787,23614,23627,,23255
23136,23010,23130,10144,22983,20894,23334,,22066,22912,23369,,23264
22423,18968,22335,2279,22405,21394,22384,,22222,22138,22490,,22343
2014,1898,2032,309,2011,1784,2015,,1986,2025,2014,,2028
4013,3039,4086,488,4020,3590,4062,,4057,3679,4067,,4086
8120,7261,8171,790,8181,8157,8134,,8006,7840,8164,,8104
16127,11016,16292,1086,16254,11874,16286,,16160,13088,16378,,16286
10838,8988,11102,516,11076,10193,11116,,10893,9196,11138,,10938
10386,9015,9978,6405,10456,10369,10455,,10468,10457,10495,,10433
10884,8501,10931,2092,10799,9666,10911,,10558,9107,10911,,10877
12942,16158,13137,1879,22405,13751,16778,,14170,16611,16836,,16711
