Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,1,1,8,1,1,279,18,57,,,
2,5,11,1,2,3,265,2,28,,,
3,8,19,202,144,5,429,5,69,,,
4,166,74,18,4,7,851,65,343,,,
5,169,15,5,6,8,862,6,83,,,
6,170,14,15,7,10,21,2,28,,,
7,189,16,3,8,13,992,14,431,,,
8,192,12,19,9,17,147,11,139,,,
9,445,5,430,228,19,694,1,9,,,
10,531,18,1,12,21,318,7,99,,,
11,720,58,284,306,24,326,137,123,,,
12,747,3,13,14,27,83,4,39,,,
13,868,22,395,232,35,996,195,22,,,
14,870,78,300,234,40,894,139,111,,,
15,737,4,11,363,47,193,4,44,,,
16,738,23,246,530,51,836,49,479,,,
17,1,1,11,21,60,662,9,124,,,
18,3,21,117,23,75,978,1,16,,,
19,4,13,517,24,79,50,10,140,,,
20,5,30,86,25,81,71,204,38,,,
21,8,9,22,26,96,364,12,175,,,
22,105,34,18,27,107,580,209,43,,,
23,537,6,412,241,108,803,3,36,,,
24,663,81,13,29,127,108,144,100,,,
25,719,82,10,30,130,755,19,727,,,
26,730,24,31,31,131,969,147,84,,,
27,735,33,4,33,149,48,76,256,,,
28,983,83,811,632,163,739,61,383,,,
29,984,61,615,372,164,454,171,29,,,
30,985,85,724,543,166,469,152,70,,,
16,986,2,19,20,170,383,9,67,,,
30,3,3,15,35,171,205,3,671,,,
11,2,4,5,13,180,362,14,18,,,
14,1,5,3,362,186,86,22,101,,,
8,54,6,422,227,248,415,19,66,,,
22,99,7,404,240,253,524,21,93,,,
31,104,8,328,255,256,287,5,375,,,
32,149,9,2,257,279,117,10,55,,,
20,398,10,14,25,287,85,6,118,,,
33,759,11,1,36,303,192,2,879,,,
1,4,12,7,1,316,14,20,85,,,
7,3,13,11,8,322,132,7,82,,,
18,2,14,509,23,353,229,8,83,,,
34,1,1,1,37,356,279,1,880,,,
5,1,15,7,6,357,258,16,29,,,
4,3,16,3,5,360,583,12,26,,,
6,4,17,5,7,365,713,4,374,,,
35,5,18,2,38,395,240,1,881,,,
9,6,19,9,11,409,39,11,42,,,
2,8,20,194,143,425,150,13,12,,,
36,9,21,32,39,466,49,15,17,,,
17,10,22,125,22,485,699,17,41,,,
36,105,17,7,40,491,325,176,45,,,
18,161,19,87,23,496,194,202,10,,,
37,163,21,633,382,501,301,171,51,,,
10,889,8,12,12,508,348,6,67,,,
4,892,3,14,5,521,244,4,56,,,
5,54,5,2,6,524,727,16,459,,,
31,55,3,5,256,526,103,10,140,,,
25,685,22,3,31,534,313,74,284,,,
20,5,23,19,25,536,315,207,15,,,
38,49,25,302,41,537,334,206,13,,,
39,533,27,39,742,538,353,208,14,,,
40,660,29,10,42,539,339,66,372,,,
6,684,1,18,7,540,118,13,167,,,
8,715,7,2,10,541,53,9,127,,,
1,725,8,201,142,542,164,7,97,,,
15,732,10,12,19,649,397,11,152,,,
16,733,10,118,21,842,713,3,44,,,
41,735,31,100,744,1078,509,131,153,,,
13,7,7,10,361,1132,72,2,16,,,
42,6,33,507,43,4,29,184,24,,,
43,2,35,173,154,6,637,192,7,,,
3,1,4,4,4,15,597,8,111,,,
17,30,2,516,22,22,215,12,168,,,
