Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,5,1,60,1,1,3129,137,3529,,,
2,10,248,1,2,2,1607,1280,2509,,,
3,11,252,14470,1583,3,7291,5863,3557,,,
3,12,2,8047,2841,4,4155,223,22,,,
4,20,3,16910,6801,5,8514,225,31,,,
5,30,4,6772,8353,6,3762,226,35,,,
6,31,5,15355,6802,9,11593,224,29,,,
7,33,6,717,2,11,14905,222,4,,,
8,34,7,456,3,12,9264,220,11,,,
9,35,8,70,4,13,2535,130,3530,,,
10,37,9,1359,13921,15,8430,215,152,,,
11,38,10,127,5,16,3879,98,6039,,,
12,44,11,377,6,18,11225,216,153,,,
13,45,12,8777,2859,19,2950,221,3,,,
14,52,13,10784,7,20,2963,154,3531,,,
15,57,14,149,8,21,3787,204,665,,,
16,58,15,308,9,26,4889,214,178,,,
17,67,16,880,14760,30,11721,194,1088,,,
18,70,17,804,10,33,3671,219,108,,,
19,90,18,4,11,38,5902,40,16503,,,
20,95,1,32,12,40,9778,1,16504,,,
21,110,19,137,13,41,8367,99,6040,,,
22,116,20,505,14,44,4860,205,666,,,
23,139,21,404,15,46,4884,218,142,,,
24,142,22,478,16,53,1106,145,3532,,,
25,174,23,247,17,54,3772,185,1388,,,
26,228,24,206,18,56,7282,210,276,,,
27,324,25,267,19,59,10509,100,6041,,,
28,382,26,622,20,60,6412,158,2501,,,
29,398,27,530,21,62,8463,184,1625,,,
30,399,28,364,22,63,7861,209,277,,,
31,404,29,633,23,66,2519,213,228,,,
32,406,30,344,24,70,16056,198,862,,,
33,759,31,592,25,72,16010,101,6042,,,
34,797,32,43,26,75,15098,14,16505,,,
35,1052,33,634,27,78,11498,197,863,,,
36,1053,34,264,28,80,594,102,6043,,,
37,1054,35,292,29,81,3951,208,278,,,
38,1077,36,11,30,86,8337,174,1966,,,
39,1078,37,306,31,89,2213,125,3533,,,
40,1480,38,758,32,91,8401,217,145,,,
41,1524,39,80,33,94,4620,143,3534,,,
42,1525,40,124,34,107,900,179,1967,,,
43,1544,41,899,35,109,14969,165,2502,,,
44,1545,42,747,36,115,9272,142,3535,,,
45,1546,43,818,14761,117,9333,212,246,,,
46,1548,44,528,37,120,5885,169,2503,,,
47,2122,45,699,38,121,15339,201,727,,,
48,2203,46,10823,39,126,2776,192,1217,,,
49,2327,47,904,40,127,13329,206,584,,,
50,2719,48,24,41,129,6152,36,16506,,,
51,2802,49,888,14762,131,1033,211,279,,,
52,2816,50,154,42,137,11443,103,6044,,,
53,2817,51,160,43,138,8702,128,3536,,,
