Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,2,1,5,1,1455,17,5,84,,,
1136,5,2,28,41,1456,502,7,99,,,
1,3,3,573,1,1457,605,6,46,,,
2,4,1,7,2,1458,111,1,85,,,
3,5,4,1,3,1459,225,1,86,,,
4,33,5,2,4,1460,870,2,87,,,
5,1,6,6,5,1461,429,3,88,,,
6,2,7,4,6,1462,165,4,89,,,
1,3,8,3,1,1463,775,29,90,,,
1128,4,8,4,33,1464,998,10,189,,,
1,5,9,17,1,1465,219,28,1,,,
2,5,10,3,2,1466,24,27,190,,,
3,5,11,10,3,71,856,26,191,,,
4,5,13,1,4,813,255,25,192,,,
5,5,15,6,5,814,1024,24,193,,,
6,5,17,9,6,815,442,23,194,,,
7,6,20,8,7,816,1155,22,195,,,
8,1,25,7,8,817,535,21,196,,,
9,1,28,5,9,818,1103,20,197,,,
1,1,33,2,1,819,694,22,198,,,
1117,1,9,3,22,820,368,7,198,,,
1,1,37,16,1,821,507,37,2,,,
2,1,41,9,2,822,599,36,199,,,
3,1,43,1,3,70,279,4,200,,,
4,1,45,4,4,802,508,18,201,,,
5,5,46,8,5,803,691,17,202,,,
6,2,47,7,6,804,34,16,203,,,
7,3,48,6,7,805,174,15,204,,,
8,4,49,5,8,806,997,14,205,,,
9,5,50,2,9,807,107,13,206,,,
1,1,12,10,1,808,260,11,207,,,
1106,4,10,1,11,809,589,8,207,,,
1,2,16,6,1,810,392,10,3,,,
2,3,19,4,2,811,156,9,208,,,
3,4,22,3,3,79,418,8,209,,,
4,5,28,7,4,791,904,7,210,,,
5,4,31,6,5,792,78,6,211,,,
6,5,35,10,6,793,404,5,212,,,
7,5,39,2,7,794,75,4,213,,,
8,5,41,5,8,795,1352,18,214,,,
9,5,43,9,9,796,777,19,215,,,
1,5,254,8,1,797,214,168,216,,,
1103,5,52,3,163,798,160,93,216,,,
1,5,258,18,1,799,683,169,1,,,
2,5,264,537,2,800,116,170,41,,,
3,5,267,4,3,78,73,171,217,,,
4,5,273,1,4,780,94,172,218,,,
5,4,278,1,5,781,804,173,219,,,
