Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
2240,1,395,1,835,13888,15837,200,1,56,6876,
5550,3,396,2,1050,15927,6363,199,2,13,6860,
6460,6048,233,2,349,16918,5902,348,3,428,6909,
14157,6053,397,267,37,20530,19341,198,4,5568,6921,
6843,3,1177,4,369,13665,5778,1138,6972,275,14777,
8340,2,1219,5,708,21947,6269,1127,2843,17,14769,
8896,1,936,212,123,22000,1618,5,6973,439,14790,
14160,2,72,4,33,22238,15743,2,2842,551,14796,
1019,17365,27,3,445,15109,1563,490,6775,38,661,
3037,1,1322,10,104,15153,5276,1188,10925,519,665,
10745,3768,1272,12,8111,18550,8577,700,13379,80,11827,
18333,8,678,1,663,18580,6947,1179,1,258,659,
8,6,689,12042,1,13651,226,884,2,1,4502,
7350,2,1046,2,405,13780,4888,971,3,210,6829,
11693,1,693,12000,141,13883,10594,883,4,481,6850,
11895,2,697,2,186,13884,272,882,11295,448,6844,
5323,3,1,1,916,15140,4587,2,3360,35,6380,
6802,1,2,42,445,15156,10368,3,2,308,6414,
7018,6036,3,1,518,21855,2685,1,9142,268,6408,
12955,19997,516,517,699,21856,6873,57,8612,312,22132,
13549,7,66,369,942,21940,2557,33,15543,186,22118,
14623,4,723,1,218,21946,9243,691,20212,510,22162,
14790,3,508,1,287,21995,15407,784,1,482,22157,
2971,1,511,7,56,21996,14647,565,20213,540,18985,
7876,3,760,109,595,15006,14976,704,2,96,18958,
16962,4,763,110,24,15158,889,703,16624,564,18987,
17390,1,34,1,162,15843,4451,5,674,3974,18979,
2115,1,36,6,574,21943,2456,519,8553,92,10936,
3198,13295,506,1,106,15387,7807,331,7281,467,10946,
6304,2,202,74,191,15402,1949,3,8554,380,10941,
8404,13289,1060,1,716,15404,1332,850,2123,6,10934,
9671,13300,997,8,511,22045,10186,981,1,283,2498,
12830,3,998,1,627,15387,1403,980,2,288,2488,
12834,2,334,103,630,16604,146,1056,3,9340,2487,
14717,1,1068,473,262,16616,238,1050,4,4593,2509,
731,2,478,2,213,22490,666,3,20216,30,10598,
3465,3,729,6,187,13657,9746,139,31,391,10599,
4234,2,1255,283,416,20704,7888,986,20217,226,10591,
1186,1,1087,252,312,21992,16140,1631,1414,28,18650,
4514,1,839,576,459,22474,384,1111,1,211,18635,
7151,5,648,1,423,14391,7116,1629,20206,265,18644,
8123,3,330,103,668,15082,2177,1109,20205,38,18626,
1434,1,257,2,350,15153,3563,271,1,60,11020,
7035,19266,506,3,348,22459,2439,886,21649,283,11022,
9558,5,912,5,291,15473,6436,550,10740,320,11338,
10751,4,833,1,668,16619,981,1112,13421,92,19463,
18076,2,1098,49,380,16648,14739,1138,3384,378,19474,
19283,8,577,1,813,18514,486,1111,1,74,19462,
19285,3,142,9,815,17107,1257,16,2,73,19460,
