Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,1,1218,1,1,11049,5631,1004,1,1587,1,
2,2,593,2,2,11050,4541,1005,2,1,2,
12,4,877,734,12,13629,8191,1412,12699,8,11,
227,12603,884,2,372,13937,1272,951,3,71,12776,
524,16656,891,210,650,13939,3010,950,4,214,12759,
2,3,461,2,2,13958,629,1053,4,1,2,
12,4,1242,734,12,11044,1374,1519,12699,4,11,
220,5,859,2,354,11045,10228,1003,5,67,12778,
5800,9592,425,42,1821,13935,5117,1059,6,335,12717,
1,9593,1086,1,1,13937,1719,1052,3,1587,1,
2,1,1080,2,2,13938,5771,1053,6,1,2,
12,9594,598,234,12,13956,7828,1519,12699,8,11,
518,9597,602,211,644,11040,3839,1003,7,209,12763,
2,9599,1347,1,2,11041,1186,1052,1,1,2,
12,1,1089,502,12,13932,11478,1629,2,4,11,
5792,1,1084,1,1818,13933,14171,1057,12,328,12720,
1,3,1353,3,1,13936,6883,1051,13,1587,1,
2,4,1348,79,2,13950,1262,1052,14,1,2,
12,5,1088,735,12,13936,2580,1629,12689,8,11,
512,3,343,180,637,13952,4541,1052,92,204,12767,
2,14434,938,268,2,13953,834,1017,164,1,2,
12,5,486,445,12,13954,12463,1652,12689,4,11,
5784,4,618,28,1815,13955,6279,1021,91,321,12723,
1,9585,943,2,1,16836,7445,1016,5,1587,1,
2,15311,937,340,2,11016,3590,1017,12701,1,2,
12,9593,642,61,12,13919,6319,1652,6,8,11,
506,9596,710,396,631,13932,4335,1051,2,199,12771,
2,9601,1323,2,2,13933,2177,958,14,1589,2,
12,14432,947,4,12,13935,2115,1616,15,4,11,
5776,9594,945,268,1812,16835,13088,961,16,314,12726,
1,9595,1329,1,1,13933,3325,957,3,1,1,
2,9599,1324,728,2,13947,13717,958,12689,2,7242,
12,2,985,39,12,13948,3203,1616,83,8,11,
500,1,990,424,625,13949,6597,1016,12689,194,12775,
2,2,1040,1,2,13952,45,868,2,2,1,
12,3,1339,35,12,16833,5442,1531,4,8,11,
5768,14428,991,237,1809,11008,2351,870,12703,1281,12729,
1,14429,1045,662,1,13916,8433,867,5,1,7244,
12,5,1359,105,12,13928,5957,1531,1,8,7255,
68,9592,1038,1,70,13930,294,868,2,42,7,
494,9599,1365,743,619,13932,8404,957,16,188,5308,
12,4,1052,24,12,16832,6769,1404,17,8,12,
61,27,869,262,63,13298,202,743,157,39,7243,
5760,9596,864,1,1806,13299,11390,744,5,1289,12731,
