Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
152,1,5,5,32,121,1524,10,187,57,303,
601,2,34,1686,136,122,901,56,266,23,390,
602,476,33,2,6,247,679,29,965,24,991,
603,1402,39,1,7,573,1409,53,186,25,990,
629,1404,27,30,29,694,343,34,1,47,529,
630,1405,30,21,744,1123,1118,33,2,545,364,
632,5,4,29,746,1192,365,12,265,543,362,
7,16,43,3,1,1193,845,41,1152,2,99,
37,2,12,1,2,1231,188,13,631,4,1,
149,460,42,2,29,1232,80,28,1945,54,7,
586,464,5,19,3,1251,494,1,367,13,890,
603,1780,49,20,7,1319,279,67,1343,25,888,
856,1,176,7,107,1322,26,97,25,49,307,
857,1,190,35,108,17,1181,160,188,50,180,
859,1,117,1687,110,144,508,96,80,51,1802,
860,3,14,1715,111,223,536,34,1,52,1764,
861,1,43,763,112,515,780,55,51,53,1763,
863,8,19,668,114,674,150,8,52,54,1801,
241,7,163,3,144,683,730,201,1151,36,3,
934,6,51,2,64,1082,1033,132,521,25,1640,
935,5,16,1,65,1083,594,87,555,26,1639,
939,4,159,2,66,1084,136,126,1706,29,1638,
946,3,53,9,72,1258,775,1,1,40,1637,
331,2,86,4,35,1274,1194,59,1157,19,74,
363,1,72,8,66,1834,753,61,267,43,172,
1340,1,7,879,23,8,488,27,1845,3,1108,
1341,2,28,886,24,46,876,14,448,5,85,
1342,4,31,964,25,262,299,29,74,6,1051,
1466,5,11,952,95,585,1316,3,50,59,21,
414,4,184,1,69,1851,1252,96,1,44,1024,
415,2,105,2,70,1854,1135,167,963,45,177,
1659,3,4,3,42,1856,39,102,962,47,175,
1662,7,10,5,45,1917,1113,13,2,48,1026,
1663,4,194,7,46,1918,1015,115,1151,49,169,
1664,3,32,1,47,1920,117,47,964,50,176,
1665,2,204,1678,48,1921,920,97,1208,51,892,
100,1,51,8,7,505,1334,4,1153,2,469,
1690,429,101,6,27,669,237,84,1152,42,521,
1692,433,167,1,29,670,1096,202,1,44,290,
1695,1,242,9,32,1281,1217,234,189,47,926,
1696,1,3,4,33,1284,1520,38,441,48,925,
2006,11,75,7,57,1976,1081,67,1517,23,923,
154,2,78,10,109,1977,1306,31,165,58,67,
1886,2,31,20,34,1981,403,5,108,2,472,
1891,1683,21,2,41,1982,1074,44,964,6,1,
1901,13,45,1,60,1983,420,121,1149,7,6,
1904,9,5,17,63,1984,444,15,1151,9,130,
30,8,31,11,1,94,210,28,166,2,98,
589,7,9,1,126,203,654,33,185,16,523,
595,5,52,2,5,263,98,18,1153,22,991,
596,4,6,21,6,601,395,26,584,23,987,
458,3,44,2,19,909,589,73,380,178,1212,
459,2,51,1,130,910,661,98,585,54,149,
1874,2,58,30,21,911,202,39,379,31,152,
1875,20,6,241,22,925,1481,5,630,32,151,
1882,5,76,1,29,926,1144,87,1,39,150,
1891,4,97,19,36,934,194,86,964,41,17,
1892,3,44,9,99,1993,193,14,963,138,1215,
458,1,136,3,129,417,72,18,965,53,150,
464,1,99,2,133,590,483,41,584,59,149,
465,2,8,211,134,1435,1279,76,251,60,148,
1873,21,129,1,20,1492,1275,77,1840,30,153,
660,1,90,240,47,1493,337,92,631,11,1464,
721,22,177,1,108,1494,214,89,8,43,1465,
722,6,5,1,110,1499,1148,36,1,44,1466,
723,4,116,2,111,1501,570,140,2,45,52,
