Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
550,1,71,8,425,23,2266,51,718,,,
555,4,41,5,428,293,4089,249,4704,,,
2216,2,64,9,156,2390,5707,43,719,,,
2217,2,305,12,157,2577,7363,163,4705,,,
2218,1,453,10,158,2578,53,440,720,,,
2219,2,342,4,159,4930,135,162,4706,,,
2220,5,80,1,160,5798,1753,135,2301,,,
2240,3,7,13,188,6287,1737,255,4707,,,
1245,8176,1,30,169,6288,800,1,934,,,
4994,6785,251,1,320,7722,3441,176,1,,,
4995,6,250,7,322,7781,513,130,1583,,,
4996,4,2,2068,324,8162,2467,82,1848,,,
4997,3,227,3,326,15,1240,313,2136,,,
942,1,307,5,379,1258,4036,405,3984,,,
943,6768,574,1,380,1456,4224,393,2,,,
3751,2,195,3,172,1653,1656,80,3986,,,
3752,1,358,5,173,2451,2757,109,3654,,,
3770,5,4,17,723,3567,4354,79,661,,,
3771,5,182,1,724,6900,5626,352,2,,,
3776,1,39,1,180,7438,271,75,2570,,,
986,4,4,2,570,7440,4413,164,332,,,
987,377,1,3,571,7459,1684,300,3987,,,
3876,6780,305,7,323,7460,722,428,1854,,,
3877,8,169,15,324,7464,3676,135,2492,,,
3878,6,729,3,325,471,1888,395,2405,,,
3989,5,88,5,436,917,2905,80,907,,,
3994,3,120,2,441,2462,5355,451,2572,,,
1128,2,7,4,54,2732,962,224,2133,,,
4528,1,233,1,249,3685,6487,149,1,,,
4533,3,4,1,254,6222,250,157,2406,,,
4534,3,287,15,255,7921,1882,339,3987,,,
1251,6,232,186,175,7930,1867,157,2405,,,
1255,5,145,4,178,7933,137,38,2404,,,
1256,1,193,2,179,7934,6768,143,307,,,
5025,69,21,2,366,7935,6737,98,2407,,,
5026,6763,11,3,367,7936,6624,134,2405,,,
5028,6765,7,16,369,2578,2132,69,1581,,,
5037,372,187,171,378,7711,15,114,1582,,,
5039,373,15,182,380,7712,2004,70,1,,,
444,375,189,168,146,7724,1773,191,2483,,,
445,4,247,14,147,7726,231,53,2484,,,
7094,1,76,3484,415,7727,344,230,1,,,
7095,3,6,1,416,7753,212,53,2,,,
7102,4,89,3469,421,7754,7183,398,1583,,,
1690,5,371,1,55,7755,3883,375,6182,,,
1694,9,7,3455,67,7772,2765,189,1584,,,
6781,6,135,3453,89,7796,5188,384,3,,,
6782,4,320,3,91,7797,5502,374,1585,,,
6786,2,43,3485,98,1344,132,122,1,,,
6788,1,399,7,101,1814,4247,243,843,,,
2787,3,445,1,48,2420,2606,288,2809,,,
2788,6683,33,4,49,2592,1290,80,4980,,,
2791,6684,173,15,52,4233,6839,442,1582,,,
2792,6686,134,3,53,4309,4954,436,2808,,,
2793,4,315,6,54,4830,4605,122,2008,,,
2794,2,5,3484,55,4831,2738,280,2808,,,
2795,1,486,2,56,4838,3671,185,6180,,,
2797,6782,491,18,58,4885,6092,335,322,,,
30,6678,50,1,2,4886,4041,83,4328,,,
165,6680,78,12,21,1321,1885,132,1226,,,
682,1,99,1,385,1931,2380,33,2406,,,
685,7,71,14,388,1932,4418,1,1,,,
2749,2,137,2,300,4330,1619,39,4597,,,
672,1,217,2,375,4331,2423,179,1581,,,
2728,5,219,7,279,4357,1497,81,1203,,,
2729,2,180,9,280,4362,926,241,2784,,,
2733,6774,51,3450,284,4365,314,11,1582,,,
2734,4,240,2,285,4366,6627,133,3984,,,
2736,3,2,3,287,4371,5061,45,6179,,,
2925,2,13,5,116,4373,6137,335,1,,,
2929,4,5,1,120,1590,354,171,3985,,,
2930,2,366,1,121,1933,2691,12,2,,,
718,4,206,150,186,3027,2207,577,1582,,,
2903,2,310,12,691,4961,4732,488,725,,,
2904,1,217,1,154,4962,1566,619,2195,,,
2908,1,285,1,158,5051,6981,5,1,,,
2910,2,453,2,693,5052,6949,253,1139,,,
2911,1,271,6,159,5055,6605,275,4298,,,
2913,3,181,4,695,5056,2370,22,6177,,,
2818,1,590,1,81,5058,5383,170,3334,,,
2819,4,380,4,82,5127,6491,449,3984,,,
2820,2,47,7,83,286,1405,170,726,,,
2829,1,15,5,92,375,376,106,4299,,,
2849,4,558,5,109,384,3013,187,2843,,,
900,3,595,158,269,798,1731,296,878,,,
3538,2,596,161,113,2206,3323,535,877,,,
3540,1,354,151,115,2598,484,241,1580,,,
3541,4,5,5,116,2885,349,123,1273,,,
3658,2,78,138,173,4748,2525,143,2307,,,
3661,1,327,6,176,4923,4109,499,3586,,,
4014,3,107,2,455,4938,1300,281,6177,,,
4016,1,105,3,457,4939,835,57,4597,,,
4017,4,354,1,458,1369,2354,388,4596,,,
4139,1,203,1,68,2218,133,175,2194,,,
4140,1,371,1,70,4461,2135,214,1580,,,
1018,2,404,1,16,4540,1433,605,3983,,,
1023,3,91,2,3,4542,4957,3,6604,,,
4146,1,5,19,75,4543,1813,80,948,,,
4156,1,412,4,85,4544,3593,287,5134,,,
4162,295,385,5,91,4545,4437,337,2956,,,
4164,6440,363,4,93,4546,1519,88,1,,,
4165,2,190,1,94,4547,2822,297,5024,,,
1199,1,79,17,30,4548,1621,122,2243,,,
4337,5,216,2,79,402,2221,189,2402,,,
4840,6,7,4,288,1375,3004,126,1027,,,
4844,5,214,204,292,6867,961,328,252,,,
4845,1,213,1,293,6868,2530,131,4711,,,
275,6,92,26,131,6870,2039,137,1,,,
1188,1,213,2,76,6871,1423,104,4712,,,
4802,2,102,3,382,6872,1638,122,6905,,,
4804,1,160,4,384,6873,4492,106,2309,,,
4806,1,233,21,386,7992,2654,129,728,,,
4807,2,71,203,387,7993,118,120,2310,,,
4808,5,77,6,388,7994,1288,22,5369,,,
180,8,125,24,150,2282,56,95,1382,,,
3166,3,27,206,94,2748,462,94,4964,,,
3167,5365,333,3,95,2749,1398,102,5370,,,
3170,1,129,1,98,6183,1079,279,2562,,,
3177,2,133,25,105,6185,491,357,4710,,,
1624,4,7,5,275,6186,1962,160,2402,,,
6558,3,13,1,139,6187,1356,32,1253,,,
6564,2,586,2,145,6188,344,223,4784,,,
6565,1,587,2,146,6189,1579,87,7375,,,
6566,2,588,3,147,6190,468,385,2852,,,
6583,5421,585,24,154,6191,1847,132,5963,,,
6585,1,309,4,156,241,1383,386,3781,,,
5169,3,96,1,7,1859,1280,8,5964,,,
5170,3,5,5,8,5301,615,51,727,,,
5202,8,94,1,14,5302,215,24,2193,,,
5203,9,90,1,15,5533,3590,12,1861,,,
75,7,281,2,65,5534,3375,352,4054,,,
6058,5,13,1,195,6000,2854,78,4596,,,
6059,4,332,7,196,6001,2306,67,2382,,,
6060,3,41,21,197,6002,519,82,3652,,,
6061,2,46,182,198,6003,2772,302,1582,,,
6062,1,262,175,199,6004,2058,536,3032,,,
6184,26,187,1,38,55,1952,371,246,,,
74,5,7,7,64,178,4830,186,1450,,,
1499,2,219,3,128,650,1203,451,4711,,,
6067,1,226,11,204,1695,2457,381,4710,,,
6069,6,456,1,206,1712,2929,512,2193,,,
6070,5,450,10,207,1883,2865,383,2402,,,
6076,3,13,1,213,2505,64,173,3984,,,
1659,2,496,14,310,2842,3660,233,1,,,
6683,1,46,1,235,6423,649,276,3066,,,
6685,26,4,4,238,6424,1267,277,727,,,
6701,25,343,4,269,8118,6282,84,5334,,,
1662,21,327,4167,28,782,5052,222,71,,,
1663,12,252,5,31,2494,992,251,5335,,,
1664,4,9,6,34,2562,1084,214,5335,,,
6720,6833,242,5,20,2845,2906,255,5336,,,
6725,30,215,2,26,3023,1105,214,7121,,,
6726,29,73,1,27,5029,5322,122,2308,,,
6727,27,340,7,29,5030,151,211,3066,,,
1743,5,8,15,189,5129,3011,94,3065,,,
7357,4,382,11,75,5373,5794,140,4595,,,
7359,3,380,2,77,6776,2865,204,6177,,,
7362,1,87,13,80,8059,3782,57,1,,,
7366,31,79,1,84,1609,4498,378,2308,,,
435,1,265,25,152,1975,4847,431,2,,,
1811,1,159,12,3321,2616,776,267,3,,,
7311,39,240,4,32,2618,3953,437,1582,,,
7313,35,10,1,33,3079,6383,347,4595,,,
7317,34,562,14,37,4545,595,146,1786,,,
7318,3,571,1,38,4549,1902,365,715,,,
7319,1,244,12,39,4631,1065,339,1,,,
7320,6735,230,1,40,4632,3006,143,2,,,
86,4,4,24,2,7634,349,90,2310,,,
7504,6733,151,4,134,7635,3446,496,1963,,,
7505,6734,8,2,135,1046,1885,48,6903,,,
7506,6735,231,202,136,1815,1501,32,1959,,,
2005,3,14,234,285,1982,1855,1,1960,,,
8108,5395,177,224,242,2250,1667,57,3026,,,
8110,2,6,178,246,7495,1850,1,351,,,
8119,1,174,3,257,7496,247,46,179,,,
8120,7,172,8,258,7497,3177,163,1585,,,
75,6,5,1,3,7498,2901,3,1237,,,
8023,5,463,5,195,7499,2430,489,6177,,,
8024,4,10,2,196,7984,4092,251,1239,,,
8028,3,283,1,200,7995,1632,353,7010,,,
8029,2,254,3,201,119,1397,350,726,,,
474,1,282,2495,21,555,2810,211,727,,,
1990,4,26,2497,258,1422,931,372,2311,,,
1991,5,183,3,260,1638,4688,75,2312,,,
8044,3,50,9,2708,1979,4115,289,4709,,,
8053,1,60,8,169,5175,3286,287,6903,,,
8061,4,82,7,178,6803,1504,18,2313,,,
492,2,122,2,344,6804,1557,76,1,,,
561,1,17,2498,416,6805,4207,41,1,,,
566,1,199,3,421,6819,4968,113,4245,,,
2072,2,4,1,19,6885,2954,88,725,,,
2343,3,108,4,235,1265,6207,202,4247,,,
2361,4,190,8,253,2318,774,117,4801,,,
182,5,30,2,193,2388,3741,82,1584,,,
512,9,299,2494,379,5416,5619,105,1,,,
2159,3,295,5,105,5418,1402,72,4591,,,
2191,4,3,1,123,5422,829,254,2194,,,
2140,2,214,2,85,6432,2611,173,2396,,,
2141,6,208,9,86,6433,53,175,2312,,,
2143,7,51,5,88,6434,2442,66,1004,,,
2144,1,5,4,89,6435,2389,111,3316,,,
2145,1,46,3,90,6745,438,2,6558,,,
2146,1,35,28,91,377,1810,33,210,,,
8,2,376,19,3006,1802,3546,262,4708,,,
2271,1,508,1,122,2201,6436,394,1,,,
2272,2,512,196,125,2597,1313,223,5046,,,
2274,4,438,17,129,3023,182,225,2,,,
2276,3,12,2,133,4673,316,226,4707,,,
2757,1,382,4,5545,6896,4566,267,2366,,,
2759,2,36,2,330,6899,3728,64,4710,,,
541,1,421,14,394,6900,3409,297,2367,,,
2296,2,412,17,185,6923,3862,377,1,,,
2297,1,10,3,186,6924,1596,70,4746,,,
2749,5,205,5,359,954,780,160,6919,,,
2750,6716,244,9,361,2983,2684,144,2368,,,
2755,6719,163,197,368,5215,5123,139,5047,,,
563,4,64,3,415,5216,2100,47,3063,,,
2366,2,14,2,255,5217,7799,2,3766,,,
2367,1,84,1,256,5514,6752,56,4708,,,
2368,2,85,213,257,5515,1495,106,5048,,,
2369,1,81,1829,258,5521,945,105,675,,,
2370,1,7,1813,259,5979,3467,1,5861,,,
547,2,134,1811,398,5980,2430,122,1779,,,
548,4,104,173,399,5981,2639,23,5271,,,
576,5,149,172,421,886,2787,60,7324,,,
577,2,169,194,422,1439,3023,15,8110,,,
578,3,19,195,423,2056,2676,11,1281,,,
2407,5,194,214,293,3672,547,165,3648,,,
2410,5367,35,1,294,3703,2132,32,36,,,
2411,2,5,1,295,3724,948,34,1400,,,
644,5,178,1,375,7410,6542,95,1,,,
655,6678,21,1,386,7411,1942,84,4590,,,
2718,6682,4,3,297,8163,5229,53,2310,,,
2719,3,187,15,298,8164,5565,122,1586,,,
2720,1,182,16,299,448,4375,43,2309,,,
2721,2,183,34,300,1651,6535,26,2,,,
2722,1,157,1,301,3093,3620,113,986,,,
586,1,43,2,325,3095,4600,32,4589,,,
587,2,39,35,326,3267,7,43,1,,,
588,1,6,38,327,3394,5425,1,297,,,
589,5362,98,4,328,3395,3287,67,6900,,,
2485,5488,1,5,98,3408,1488,13,1442,,,
2492,4,30,12,105,3409,4005,20,4394,,,
127,5077,28,18,12,3660,336,83,724,,,
637,5078,119,1,368,1885,1190,29,723,,,
2589,3,13,10,193,1887,2986,94,3295,,,
2593,7,32,18,197,2500,2160,82,2311,,,
660,6,297,11,163,5711,3076,338,4381,,,
2692,4,61,1,35,5712,4802,1,2617,,,
2693,2,152,2,36,6993,5132,288,8022,,,
2758,2,146,1,50,6994,4164,284,5449,,,
2759,2,303,186,51,7202,339,274,8021,,,
2760,1,17,3,52,7225,2403,128,3599,,,
533,3,185,6,92,7226,138,452,7455,,,
2747,8057,158,4,2543,780,1664,447,7460,,,
2749,1,6,1,2539,2559,968,5,2573,,,
2750,2,406,188,43,4907,5471,188,1,,,
2751,5485,412,187,3336,4909,4503,326,2572,,,
2752,4,418,2082,44,4910,803,294,1971,,,
2753,2,6,1895,45,4911,3700,74,601,,,
2779,3,8,2,70,4917,5523,71,3984,,,
2780,1,248,1,71,7732,454,134,1589,,,
2781,2,296,5,72,8139,5066,578,3985,,,
2786,4,331,7,77,8145,942,410,1,,,
2858,5,4,17,139,777,2940,224,1590,,,
662,5481,7,4,164,785,1107,38,6176,,,
