Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,4,228,4,1,2752,4002,177,1,,,
159,9,37,1,67,2777,5111,149,2,,,
4941,7968,273,5,252,2778,345,139,8564,,,
4942,1,13,1,254,4132,5687,130,8563,,,
1,2,198,1,1,4825,8765,184,2,,,
4939,2,252,2,249,7191,1991,79,8563,,,
4940,2,45,1,251,11047,3657,38,8565,,,
1,5,130,2,1,11048,576,187,8565,,,
4937,2,212,8,246,11076,2160,83,8407,,,
4938,1,54,6,248,11078,6032,105,1,,,
1,1,203,10,1,11137,2736,211,158,,,
4935,4,292,7,243,11138,134,182,1,,,
4936,3,82,9,245,1181,1297,104,8564,,,
1,2,320,1,1,2098,6774,266,8565,,,
4934,1,89,3,242,4156,1666,29,2,,,
5093,9644,313,1,290,7823,2362,129,1,,,
1,9647,150,1,1,7826,7649,266,8564,,,
5091,9640,203,2,287,8373,1431,92,8565,,,
5092,9642,7,8,289,8374,8071,137,1,,,
1,9643,40,11,1,9154,4590,23,1,,,
5089,4,264,2,284,11070,5287,44,8565,,,
5090,7,53,9,286,11071,620,174,8564,,,
1,4,4,1,1,11072,9080,4,1,,,
5087,3,310,7,282,11073,4667,142,1,,,
5088,2,224,1,283,2591,2449,67,1,,,
1,1,8,1,1,2816,7526,6,8564,,,
5085,1,341,2,280,9200,3970,147,8565,,,
5086,4,314,467,281,9201,2517,146,1,,,
1,9638,31,3,1,9202,1090,13,8564,,,
5083,9682,374,2,278,9203,5077,142,8565,,,
5084,4,349,3,279,9204,3556,141,1,,,
1,3,5,2,1,9222,1079,7,1,,,
5081,2,409,1,276,9223,5820,130,8564,,,
5082,4,405,464,277,9224,3607,129,8565,,,
1,3,12,1,1,4156,3987,39,1,,,
5079,9683,315,1,274,7814,7502,124,1,,,
5080,9211,414,1,275,7819,1454,123,8564,,,
1,7,10,3,1,7820,4741,6,8565,,,
5077,6,361,465,272,8249,2213,164,1,,,
5078,3,327,14,273,8250,873,163,1,,,
1,2,122,9,1,8312,8356,1,8564,,,
5075,1,353,2,270,8370,6048,159,8565,,,
5076,4,351,2,271,8371,3287,158,1,,,
1,2,5,1,1,8372,2720,4,1,,,
5073,5,172,2,268,2616,9230,159,8564,,,
5074,3,231,5,269,2750,7483,158,8565,,,
1,2,27,7,1,8117,2308,3,1,,,
5071,9212,246,13,266,8118,1647,156,1,,,
5072,8,177,2,267,8182,6383,155,8564,,,
1,6,133,1,1,8183,6510,1,8565,,,
5069,4,348,7,264,8246,1747,154,1,,,
5070,3,273,1,265,8247,687,153,1,,,
1,2,1,1,1,8248,13,1,8564,,,
5067,1,487,11,262,8249,4736,154,8565,,,
5068,5,481,1,263,2361,127,153,1,,,
1,3,7,4,1,3405,4135,26,1,,,
5065,2,304,3,260,10900,847,154,8564,,,
5066,4,488,2,261,10901,674,153,8565,,,
1,3,228,12,1,10909,4749,1,1,,,
5063,2,317,3,258,10910,2707,129,1,,,
5064,5,311,1,259,10913,26,128,8564,,,
1,6469,7,1,542,10914,4982,1,8565,,,
5061,9207,224,1,770,10916,173,129,1,,,
5062,7,89,1,257,10920,7101,128,1,,,
1,6,49,1,1,2649,170,1,8564,,,
5059,4,234,2,227,3404,2681,129,8565,,,
5060,3,231,2,228,10883,4956,128,1,,,
1,2,9,7,1,10884,3539,23,1,,,
5057,1,244,6,225,10899,207,40,8564,,,
5058,5,283,2,226,10900,6931,128,8565,,,
1,3,100,3,1,10904,2851,17,1,,,
5055,2,329,1,223,10905,1454,80,1,,,
5056,4,253,2,224,10917,851,63,8564,,,
1,3,53,1,1,10920,3332,1,8565,,,
5053,2,434,4,221,2908,6724,102,1,,,
5054,1,429,6,222,3404,2517,97,1,,,
1,1,182,5,1,4569,7839,1,8564,,,
5051,5,290,1,219,6911,2305,139,8565,,,
5052,6460,487,3,220,7061,4183,103,1,,,
1,6464,10,3,1,7063,7864,2,1,,,
5049,4,225,1,217,7064,441,70,8564,,,
5050,2,108,1,218,10874,10356,140,8565,,,
1,1,66,4,1,10876,5534,35,1,,,
5047,3,249,1,215,10877,2813,274,1,,,
5048,5,235,1,216,1119,1421,72,8564,,,
1,6454,68,4,1,8566,7423,3,8565,,,
5045,6457,326,2,213,8567,9915,156,1,,,
5046,5,315,98,214,8568,2269,239,1,,,
1,4,7,108,1,8569,3549,8,8564,,,
5043,3,262,2,211,8615,1392,153,8565,,,
5044,2,258,3,212,8616,6002,159,1,,,
1,1,78,1,1,8627,1815,16,1,,,
5041,3,120,1,209,8628,5030,143,8564,,,
5042,2,269,10,210,8629,1280,145,8565,,,
1,5,6,110,1,2086,4941,5,1,,,
5039,7969,35,5,207,2087,4808,114,1,,,
5040,4,42,1,208,2788,6800,159,8564,,,
1,3,258,2,1,4823,6845,1,8565,,,
5037,2,46,11,205,7149,6310,110,1,,,
5038,1,41,2,206,7150,5999,109,1,,,
1,2,179,1,1,7151,1070,257,8564,,,
