Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,5,166,1038,1,48,287,70,69,1,1012,
6,93,158,1029,11,56,486,103,124,3,1013,
21,101,188,1098,29,79,1328,112,127,9,1014,
130,1106,1426,5,197,82,216,476,866,33,2,
165,1107,341,1025,246,87,623,321,376,40,1020,
484,1108,1427,1,399,88,908,174,1274,54,966,
19,74,1338,1027,28,89,1114,630,217,7,623,
109,86,345,401,542,103,1132,1368,13,171,389,
162,848,37,12,577,111,1233,107,132,526,1037,
884,858,1428,3,63,115,671,173,1389,15,967,
818,859,319,116,1690,122,229,1389,243,897,844,
146,860,1251,105,2146,131,110,635,151,442,397,
416,861,18,2,589,152,1395,335,386,522,165,
1067,30,1429,7,366,153,910,420,1015,16,963,
642,29,1041,14,530,161,356,233,294,507,103,
1018,28,39,698,1102,165,1140,198,249,46,972,
870,27,77,442,1770,181,59,415,496,469,1133,
765,26,282,23,1162,214,804,123,166,820,1026,
1139,25,1430,2,24,215,390,172,1494,8,968,
638,22,361,760,128,222,551,110,143,167,538,
659,20,1431,1298,173,225,1385,580,582,27,981,
1163,19,537,106,2166,229,702,323,422,428,1164,
1945,18,1432,6,432,243,25,171,1919,66,962,
1266,17,524,238,568,244,360,219,257,179,924,
1946,16,1433,4,434,247,233,170,1920,67,961,
1928,15,326,148,2084,250,626,1385,147,132,1209,
1,14,276,2,475,254,1432,13,1123,491,1051,
383,12,189,11,947,279,723,1269,495,1286,1702,
73,11,202,71,1370,281,250,1287,3,56,1506,
429,10,12,2,1405,287,554,95,41,141,140,
357,9,200,1457,27,296,126,1268,42,1016,63,
618,8,178,441,1393,345,134,1271,72,6,389,
571,7,193,1,745,379,390,97,264,622,708,
61,6,165,6,453,401,541,700,60,202,57,
579,5,187,2,819,412,1,92,508,1050,124,
486,4,1310,735,1024,440,1403,1265,320,903,160,
1146,3,107,202,16,454,255,1275,2,1311,1654,
496,2,1504,3,131,456,1143,1297,39,633,151,
908,1,910,632,1186,459,427,1272,24,326,4,
945,1,197,389,161,475,407,703,343,23,1675,
1,2,671,11,2,476,827,66,147,1,1,
47,3,125,1,205,480,1320,56,73,442,1983,
166,4,968,10,110,486,1277,712,897,26,13,
158,5,1225,9,284,488,1800,662,156,49,1585,
145,6,1301,3,160,491,1380,664,295,31,421,
281,7,924,380,98,492,665,758,406,23,1984,
294,8,547,109,16,495,1508,952,302,5,1985,
419,9,1009,28,93,496,940,757,411,22,78,
221,10,595,8,1598,503,471,132,208,8,127,
436,11,1161,4,408,511,1443,982,161,339,592,
459,12,1232,1,28,517,768,696,308,9,1360,
460,13,1269,358,425,527,1609,666,944,60,424,
507,14,1116,5,106,535,1518,679,45,92,388,
526,15,825,891,175,538,203,965,496,39,1921,
475,276,127,19,212,541,1666,117,413,1,895,
638,3,537,387,310,563,211,62,318,10,1105,
700,2,1736,359,578,584,1545,499,1351,38,886,
4,1,239,501,102,589,567,120,24,35,14,
980,1,281,1174,1370,596,483,236,1449,32,1215,
1011,2,543,6,221,602,620,329,1034,2,1106,
412,3,213,394,10,605,1962,265,410,5,56,
1103,4,466,32,119,606,1714,372,1505,1069,1996,
1123,5,84,157,707,607,681,164,1513,761,1547,
1158,6,57,370,1200,613,598,1396,1529,535,629,
1180,16,177,690,720,614,1725,237,1534,45,1614,
970,35,1737,7,721,615,1364,500,230,46,1985,
672,780,54,1,190,617,200,1386,224,287,1444,
1279,1287,250,31,194,619,1822,461,1570,1193,1991,
569,2157,1092,26,1728,625,905,382,358,49,701,
825,9,1317,1,55,627,725,246,517,16,948,
740,8,1738,2,95,636,1185,96,510,33,1997,
1344,7,1739,327,96,639,83,95,1594,30,1995,
415,6,1740,5,125,644,150,421,213,40,1993,
1473,5,294,22,114,651,1435,348,1654,31,1216,
1487,4,1741,111,181,654,189,94,1664,56,1988,
1501,3,1742,3,4,669,66,93,1673,3,2003,
655,2,1743,35,16,670,1952,92,606,8,2002,
1954,1,1744,531,35,671,876,91,1955,12,2001,
1955,1,99,480,1701,672,1264,165,1956,458,114,
1956,2,20,62,481,699,409,172,1957,509,1881,
1957,3,1745,161,103,704,1154,90,1958,39,1994,
1,4,851,114,456,718,1185,322,73,1111,2008,
118,5,1320,4,182,719,1144,437,721,61,944,
127,6,1377,8,130,734,968,586,154,23,12,
181,354,1746,25,143,739,557,89,606,55,1992,
290,424,300,3,605,745,678,162,335,740,831,
348,2019,1747,23,50,754,760,88,113,14,2000,
626,50,1748,1306,62,755,1528,87,1365,18,1999,
864,45,1749,41,73,770,385,86,355,23,1998,
684,11,1707,51,302,771,622,567,171,464,70,
932,10,1750,2,187,775,471,85,1467,59,1990,
160,9,1751,18,189,808,892,84,10,60,1989,
182,8,1752,1813,10,816,1366,83,240,5,2005,
3,7,1753,1418,5,818,244,82,183,4,2004,
326,6,13,1,5,832,278,1234,135,482,706,
1119,5,1460,24,59,833,769,1237,124,100,704,
285,4,1235,537,133,836,794,754,244,525,696,
625,3,217,16,338,837,204,1233,296,556,12,
58,2,1214,32,372,839,741,130,189,412,854,
459,1,195,1304,140,840,858,1231,57,852,798,
828,1,190,1,193,841,99,120,262,47,720,
1371,2,210,1318,453,842,427,705,849,559,705,
361,3,174,8,368,843,28,752,114,1207,819,
1534,4,97,17,500,844,431,1241,1727,820,360,
1089,5,214,1316,1125,845,305,1262,105,946,409,
1346,6,497,2,869,846,1548,1234,678,1341,1507,
428,7,336,5,1395,847,247,128,136,58,448,
597,8,320,12,17,848,752,1238,255,1014,1561,
1286,9,507,10,427,849,236,1241,673,589,196,
251,10,524,2090,735,855,593,733,511,274,390,
252,11,928,1809,1014,856,436,119,193,4,125,
645,28,399,3,49,857,693,1232,90,901,3,
1059,105,489,620,1048,858,1184,751,267,718,161,
424,133,986,1311,121,859,1345,28,87,54,3,
478,256,1180,951,308,860,1164,1239,76,328,1676,
1054,261,521,4,151,862,1348,736,475,21,1629,
572,262,43,1632,680,863,96,1365,254,313,95,
114,483,122,6,262,865,217,1362,64,47,1468,
901,750,79,7,131,875,832,38,794,1668,841,
1191,766,52,11,415,879,252,660,271,151,75,
1364,770,580,20,33,880,299,114,204,1289,3,
1256,771,840,15,535,881,596,509,671,1229,261,
475,772,514,9,147,883,103,284,983,1488,1787,
609,773,534,14,1473,884,411,68,764,417,129,
315,774,24,13,961,887,937,202,97,397,128,
1134,14,1797,44,209,888,1465,246,231,16,1785,
942,13,590,22,350,891,487,121,654,277,120,
2,12,89,1,412,892,479,201,181,1358,76,
215,11,1798,55,9,899,113,2,85,22,1335,
1412,10,43,1660,126,911,11,183,489,47,1790,
1087,9,21,2,14,912,294,137,364,1695,817,
491,8,45,1816,23,927,352,98,89,1181,1382,
1432,7,70,54,169,956,478,69,233,1730,66,
1785,6,486,798,114,963,1165,167,890,1,4,
