Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,1,1334,2,1,1,290,159,1933,,,
1,3,1334,2,1,2,290,159,1933,,,
1,4,1335,19,1,4,731,892,772,,,
5,5,1336,24,5,5,1636,891,773,,,
2,6,1337,22,2,6,1118,918,659,,,
3,7,1338,20,3,7,554,827,957,,,
10,8,1004,310,82,8,1443,1290,197,,,
11,9,528,200,84,9,1203,81,175,,,
12,10,982,191,85,10,106,1270,222,,,
13,11,962,109,86,11,1038,1269,224,,,
14,12,69,36,88,12,422,56,113,,,
15,13,22,11,90,14,1567,49,94,,,
16,14,413,107,92,15,1503,82,182,,,
17,15,1026,52,10,16,1152,982,79,,,
18,16,1339,27,11,17,1623,634,1357,,,
19,18,1340,1,12,18,2045,153,1934,,,
20,19,1341,17,13,19,62,836,958,,,
21,22,1342,6,14,21,2187,635,1358,,,
22,23,1343,9,15,22,472,636,1359,,,
8,24,1344,23,8,23,2060,803,1005,,,
23,25,1345,13,16,24,1531,822,959,,,
24,26,1346,10,17,25,1344,446,1862,,,
25,27,1347,16,18,26,186,801,1006,,,
26,28,1348,5,19,27,2253,147,1935,,,
4,29,1349,15,4,28,2366,847,809,,,
6,30,1350,25,6,29,485,637,1356,,,
27,31,1351,3,20,30,180,145,1936,,,
7,32,1352,14,7,31,304,799,1004,,,
9,41,1353,26,9,32,475,942,556,,,
28,47,1354,21,21,33,1974,461,1863,,,
29,49,1355,4,22,34,1293,143,1937,,,
30,50,1356,28,23,35,579,638,1360,,,
31,54,1357,8,24,36,1372,459,1864,,,
1,55,1335,3,1,37,387,892,113,,,
1,61,1337,19,2,38,731,918,772,,,
2,62,1338,1,3,39,1285,827,185,,,
3,63,1349,4,4,40,1635,847,37,,,
1,64,1336,5,5,41,387,891,113,,,
2,65,1350,24,6,42,1118,637,659,,,
6,66,1352,1,7,43,942,799,346,,,
2,67,1344,10,8,44,1248,803,150,,,
7,73,1353,3,9,45,1593,942,103,,,
2,74,1004,22,82,48,1285,1290,185,,,
2,76,528,1,84,49,2190,81,184,,,
3,78,982,7,85,50,554,1270,957,,,
25,79,962,4,86,51,2528,1269,906,,,
3,80,69,1,88,52,1635,56,37,,,
2,81,22,4,90,53,1248,49,150,,,
4,82,413,20,92,55,2366,82,809,,,
21,83,1026,1,61,56,2180,982,197,,,
4,85,1339,310,10,57,905,634,1,,,
5,86,1340,1362,11,59,1636,153,773,,,
1,87,1341,1420,12,60,1151,836,583,,,
2,88,1342,1218,13,62,1940,635,231,,,
1,89,1343,1863,14,67,1151,636,583,,,
6,90,1345,2290,15,68,485,822,1356,,,
2,91,1346,2212,16,69,1940,446,231,,,
7,92,1347,2817,17,70,304,801,1004,,,
16,93,1348,2295,18,72,1835,147,45,,,
6,94,1351,2144,19,73,942,145,346,,,
8,95,1355,2515,20,78,2060,143,1005,,,
1,96,1356,2261,22,79,2535,638,449,,,
7,97,1359,2296,23,80,1593,142,103,,,
9,98,2,2276,1,83,475,26,556,,,
9,107,3,2278,2,84,2098,65,801,,,
1,109,14,553,3,85,2535,45,449,,,
16,110,2,1168,1,86,661,26,450,,,
21,143,3,359,2,87,1054,65,804,,,
10,144,14,339,3,88,1443,45,197,,,
79,145,1,1778,4,91,855,1,58,,,
114,167,7,1621,6,92,44,115,97,,,
39,168,12,95,2,93,1237,71,34,,,
41,170,16,11,7,97,1668,24,59,,,
206,171,12,5,2,98,1246,71,47,,,
42,172,7,25,6,99,452,115,10,,,
45,173,16,85,7,101,1525,24,50,,,
47,174,2,16,2,102,1908,64,57,,,
33,175,16,3,18,105,395,366,31,,,
53,176,16,19,18,108,1521,366,58,,,
361,177,2,17,14,110,1238,46,23,,,
211,178,2,32,14,111,209,46,48,,,
281,179,14,18,1,115,1056,254,22,,,
213,180,16,113,2,119,794,92,39,,,
285,182,14,97,1,120,438,254,54,,,
215,183,16,26,2,121,389,92,11,,,
