Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,2,1,181,1,2,1996,216,7257,1,1,
2,1,2,228,2,3,6766,217,7258,2,2,
3,2,1,308,3,6,3748,1,7259,3,3,
4,3,3,104,4,9,6504,218,7260,4,4,
5,5,4,90,5,12,8587,219,7261,5,5,
6,8,5,102,6,14,4913,220,7262,6,6,
7,9,6,309,7,15,3350,221,7263,7,7,
8,10,7,373,8,17,2312,222,7264,8,8,
9,13,8,179,9,18,347,223,7265,9,9,
10,14,9,227,10,23,3697,224,7266,10,10,
11,15,10,306,11,24,6336,225,7267,11,11,
12,16,11,177,12,26,574,226,7268,12,12,
13,32,12,87,13,28,6291,227,7269,13,13,
14,34,13,18139,761,31,7092,480,54,13270,2054,
15,35,14,97,14,34,5523,228,7270,14,14,
16,40,15,307,15,36,4165,229,7271,15,15,
17,43,16,372,16,37,9862,230,7272,16,16,
18,46,17,178,17,40,11293,231,7273,17,17,
19,50,18,226,18,42,2902,232,7274,18,18,
20,54,19,304,19,44,4793,233,7275,19,19,
21,55,20,99,20,47,2814,234,7276,20,20,
22,57,21,84,21,52,1551,235,7277,21,21,
23,158,22,94,22,54,15139,236,7278,22,22,
24,166,23,305,23,56,3578,237,7279,23,23,
25,170,24,371,24,57,5749,238,7280,24,24,
26,174,25,101,25,60,10847,239,7281,25,25,
27,180,26,189,26,62,3976,240,7282,26,26,
28,219,27,231,27,67,8777,241,7283,27,27,
29,226,28,317,28,68,13222,242,7284,28,28,
30,276,29,115,29,69,484,243,7285,29,29,
31,343,30,19652,3846,71,5962,423,3268,12548,276,
32,344,31,100,30,74,4431,244,7286,30,30,
33,346,32,109,31,78,1026,245,7287,31,31,
34,351,33,313,32,83,2525,246,7288,32,32,
35,358,34,376,33,84,1322,247,7289,33,33,
36,363,35,185,34,85,7002,248,7290,34,34,
37,367,36,230,35,87,2815,249,7291,35,35,
38,388,37,315,36,89,9581,250,7292,36,36,
39,389,38,374,37,91,5057,251,7293,37,37,
40,390,39,98,38,95,17216,252,7294,38,38,
41,391,40,107,39,99,3984,253,7295,39,39,
42,392,41,311,40,101,6834,254,7296,40,40,
43,402,42,375,41,107,11567,255,7297,41,41,
44,407,43,187,42,113,6250,256,7298,42,42,
45,412,44,229,43,119,438,257,7299,43,43,
46,428,45,312,44,120,15779,258,7300,44,44,
47,434,46,401,45,121,4356,396,3269,45,45,
48,447,47,113,46,122,4688,259,7301,46,46,
49,449,48,95,47,128,8713,260,7302,47,47,
50,476,49,105,48,129,3632,261,7303,48,48,
51,477,50,310,49,130,3649,262,7304,49,49,
52,478,51,81,50,132,8278,263,7305,50,50,
53,480,52,296,51,133,9643,264,7306,51,51,
54,481,53,89,52,138,6050,265,7307,52,52,
55,482,54,408,53,154,1120,411,3270,715,53,
56,486,55,78,54,156,3567,266,7308,53,54,
57,488,56,1010,4846,157,11300,456,739,12537,8844,
58,492,57,85,55,177,996,267,7309,54,55,
59,495,58,297,56,178,8554,268,7310,55,56,
60,505,59,367,57,181,6245,269,7311,56,57,
61,508,60,1801,4848,182,16098,426,1862,7179,8071,
62,512,61,173,58,183,11065,270,7312,57,58,
63,649,62,400,59,184,13921,422,3271,714,59,
64,662,63,221,60,186,16030,271,7313,58,60,
65,1385,64,293,61,187,14803,272,7314,59,61,
66,1633,65,74,62,188,14661,273,7315,60,62,
67,1635,66,19699,3847,191,4451,474,318,713,277,
68,1643,67,69,63,195,16729,274,7316,61,63,
69,1863,68,291,64,197,12594,275,7317,62,64,
70,1914,69,295,65,204,645,276,7318,63,65,
71,2010,70,366,66,206,8728,277,7319,64,66,
72,2046,71,172,67,207,3271,278,7320,65,67,
73,2047,72,220,68,208,3258,279,7321,66,68,
74,2601,73,292,69,212,15586,280,7322,67,69,
75,2884,74,394,70,229,16201,414,3272,68,70,
76,2885,75,71,71,230,10920,281,7323,69,71,
77,2886,76,66,72,232,4986,282,7324,70,72,
78,2887,77,80,73,233,6880,283,7325,71,73,
79,2888,78,294,74,234,4506,284,7326,72,74,
80,2889,79,365,75,237,13478,285,7327,73,75,
81,2890,80,171,76,239,13075,286,7328,74,76,
82,2900,81,219,78,246,2290,287,7329,75,77,
83,2916,82,86,79,247,922,288,7330,76,78,
84,2918,83,225,80,248,6058,289,7331,77,79,
85,2919,84,302,81,250,2507,290,7332,78,80,
86,2920,85,1290,6511,253,5924,475,209,4351,2671,
87,2921,86,96,82,254,6629,291,7333,79,81,
88,2923,87,82,83,267,4327,292,7334,80,82,
89,2924,88,93,84,270,16635,293,7335,81,83,
90,2925,89,8248,9123,293,3362,421,3273,82,13469,
91,2926,90,402,85,301,3420,424,3274,9560,84,
92,2927,91,8246,9126,324,4524,389,3275,83,13468,
93,2928,92,303,86,327,6035,294,7336,84,85,
94,2929,93,370,87,415,12825,295,7337,85,86,
95,2930,94,392,88,416,5979,405,3276,712,87,
96,2931,95,176,89,418,6230,296,7338,86,88,
97,2933,96,224,90,419,13688,297,7339,87,89,
98,2934,97,299,91,420,11728,298,7340,88,90,
99,2935,98,92,92,422,14539,299,7341,89,91,
100,2936,99,222,93,447,149,300,7342,90,92,
101,2937,100,91,94,452,1229,301,7343,91,93,
102,2938,101,301,95,453,4653,302,7344,92,94,
103,2939,102,412,96,454,569,437,1863,93,95,
104,2940,103,369,97,455,5908,303,7345,94,96,
105,2941,104,175,98,458,2415,304,7346,95,97,
106,2942,105,223,99,462,2453,305,7347,96,98,
107,2943,106,298,100,463,11130,306,7348,97,99,
108,2944,107,83,101,465,11491,307,7349,98,100,
109,2945,108,76,102,468,9040,308,7350,99,101,
110,2946,109,88,103,469,14804,309,7351,100,102,
111,2947,110,19967,3850,473,8357,450,1123,711,278,
112,5371,111,300,104,476,3244,310,7352,101,103,
113,5446,112,368,105,483,3925,311,7353,102,104,
114,5447,113,174,106,485,860,312,7354,103,105,
115,5448,114,111,107,486,12319,387,7355,104,106,
116,5481,115,1873,4886,488,13088,394,3277,12521,8843,
117,5492,116,2050,4888,544,5008,469,383,7064,5437,
118,5493,117,141,108,581,5072,386,7356,105,107,
119,5494,118,335,109,583,8142,385,7357,106,108,
120,5496,119,19595,3851,596,3577,460,740,710,279,
121,5497,120,386,110,599,1872,384,7358,107,109,
122,5498,121,207,111,606,1504,383,7359,108,110,
123,5499,122,403,112,620,4702,403,3278,109,111,
124,5500,123,240,113,624,639,382,7360,110,112,
125,5501,124,333,114,664,3711,381,7361,111,113,
126,5502,125,138,115,667,1853,380,7362,112,114,
127,5503,126,1377,4897,668,5639,428,1864,8217,5048,
128,5504,127,19650,3853,671,3261,407,3279,12515,280,
129,5505,128,128,116,672,3249,379,7363,113,115,
130,5506,129,3123,117,673,617,470,384,12513,12775,
131,5507,130,139,118,674,5680,378,7364,114,116,
132,5508,131,332,119,677,8671,377,7365,115,17291,
133,5509,132,1123,4902,679,4148,477,141,12512,16530,
134,6054,133,385,120,680,1589,376,7366,116,17290,
135,17696,134,2158,10010,684,13616,453,741,5174,15440,
136,17786,135,133,121,685,9800,375,7367,117,17289,
137,18029,136,239,122,686,5733,374,7368,118,17288,
138,18132,137,19654,3854,688,4201,415,3280,12510,16940,
139,18313,138,331,123,690,15717,373,7369,119,17287,
140,18389,139,136,124,691,4415,372,7370,120,17286,
141,18514,140,120,125,692,12688,371,7371,121,17285,
142,18527,141,137,126,694,1295,370,7372,122,17284,
143,18754,142,329,127,696,7902,369,7373,123,17283,
144,18776,143,384,128,697,7307,368,7374,124,17282,
145,18813,144,204,129,698,6641,367,7375,125,17281,
146,18814,145,238,130,699,9974,366,7376,126,17280,
147,18830,146,330,131,700,5806,365,7377,127,17279,
148,18847,147,134,132,703,16744,364,7378,128,17278,
149,18871,148,119,133,713,15385,363,7379,129,17277,
150,18878,149,206,134,717,3825,362,7380,130,17276,
151,18894,150,146,135,726,2357,361,7381,131,17275,
152,18930,151,340,136,735,16890,360,7382,132,17274,
153,18952,152,389,137,736,10222,359,7383,133,17273,
154,18963,153,213,138,741,6631,358,7384,134,17272,
155,18980,154,243,139,742,7491,357,7385,135,17271,
156,19445,155,339,140,743,4100,356,7386,136,17270,
157,19461,156,143,141,744,3189,355,7387,137,17269,
158,19471,157,131,142,745,1816,354,7388,138,17268,
159,19871,158,145,143,746,3983,353,7389,139,17267,
160,19947,159,338,144,747,409,352,7390,140,17266,
161,19999,160,388,145,748,1001,351,7391,141,17265,
162,20449,161,126,146,749,12893,350,7392,142,17264,
163,21288,162,242,147,752,3103,349,7393,143,17263,
164,21300,163,417,9197,755,10057,457,742,13904,15154,
165,21401,164,411,148,757,6001,431,1865,6959,17262,
166,21415,165,6660,968,758,6975,399,3281,2803,14847,
167,21430,166,336,149,760,4700,348,7394,144,17261,
168,21519,167,396,150,761,899,393,3282,145,17260,
169,21708,168,142,151,764,14741,347,7395,146,17259,
170,22094,169,130,152,765,12303,346,7396,147,17258,
171,22129,170,144,153,766,16467,345,7397,148,17257,
172,22469,171,15267,10237,768,3076,445,1124,2800,14549,
173,22511,172,337,154,772,5778,344,7398,149,17256,
174,22516,173,387,155,773,2843,343,7399,150,17255,
175,22597,174,208,156,778,5528,342,7400,151,17254,
176,22641,175,241,157,788,2269,341,7401,152,17253,
177,22694,176,334,158,790,15333,340,7402,153,17252,
178,22723,177,140,159,793,3682,339,7403,154,17251,
179,22822,178,15058,10238,818,1949,484,7,11788,14548,
180,23017,179,1929,11180,819,4678,465,525,13235,14335,
181,23390,180,236,160,820,13032,338,7404,155,17250,
182,23482,181,7782,9218,821,2070,472,385,4291,14174,
183,4,182,380,161,823,2183,337,7405,156,17249,
184,3,183,195,162,825,3392,336,7406,157,17248,
185,2,184,234,163,826,5184,335,7407,158,17247,
186,1,185,321,164,828,492,334,7408,159,17246,
