Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM strict,DegSort,Metis,Grappolo-RCM,ND
1,2,370,576,1,1,1062,466,168,,,
23,12,289,1,1349,2,108,98,122,,,
27,13,280,66,16,3,1645,248,291,,,
32,17,258,2032,20,5,123,253,297,,,
33,22,256,2018,23,6,8,254,300,,,
34,23,248,1964,24,8,229,255,301,,,
35,24,238,2041,27,9,2040,258,305,,,
133,25,122,24,342,11,33,987,45,,,
134,26,29,11,717,12,1077,199,110,,,
1,28,5,13,136,13,496,135,101,,,
2,29,291,1,169,14,2045,5,174,,,
3,30,381,62,96,19,1900,53,734,,,
4,31,213,1966,97,20,1768,105,6,,,
1,34,42,1952,1363,21,1653,227,9,,,
96,35,183,1898,1471,23,1416,216,10,,,
97,39,177,1975,1477,24,395,108,14,,,
731,40,124,1971,464,26,1308,260,1041,,,
73,64,116,68,1398,27,292,319,5,,,
75,65,1176,315,117,28,1367,257,59,,,
76,67,114,69,148,29,1716,121,78,,,
77,68,1071,14,1244,30,115,123,3,,,
1,69,92,68,1433,33,352,453,4,,,
2,70,87,9,1932,34,2163,237,8,,,
940,73,239,5,1394,35,460,67,1047,,,
1,74,1163,55,1430,37,1601,126,81,,,
274,79,113,54,310,40,237,580,1,,,
119,80,118,23,320,42,2048,277,5,,,
1,81,2,19,127,44,345,1,1050,,,
2,82,3,2267,129,45,286,12,68,,,
3,83,381,1364,114,48,1687,182,93,,,
4,87,313,1,290,49,1364,708,82,,,
5,88,352,77,1410,53,1811,594,4,,,
6,89,380,73,125,55,108,698,1051,,,
7,92,14,78,1499,58,447,41,86,,,
8,180,177,1725,25,60,1966,675,62,,,
9,197,391,2042,1422,61,2148,599,183,,,
10,199,157,4,811,65,1703,722,1055,,,
11,200,22,110,812,66,1101,7,42,,,
1,205,397,13,173,67,1110,9,65,,,
2,215,404,3,174,69,446,246,968,,,
3,264,413,486,175,70,550,379,78,,,
4,383,420,1480,362,73,1218,544,84,,,
5,404,266,1466,176,76,1103,453,87,,,
6,411,270,1412,177,77,866,574,88,,,
7,463,275,1489,178,80,945,590,92,,,
8,464,281,554,1363,83,842,593,83,,,
9,549,292,1,467,84,1067,622,509,,,
10,553,191,4,469,86,560,621,510,,,
10,677,428,10,471,87,664,635,1033,,,
11,682,431,567,475,90,1952,715,18,,,
334,906,438,814,479,95,293,508,46,,,
480,908,296,165,481,98,1007,509,149,,,
481,981,276,84,1209,101,662,605,879,,,
482,985,301,3,116,103,844,472,1,,,
422,1,306,3,329,105,396,297,508,,,
172,2,312,11,1437,106,334,237,1077,,,
489,6,441,87,555,109,1506,94,880,,,
490,11,324,161,1447,112,5,561,306,,,
491,12,174,40,652,113,1402,312,317,,,
492,16,6,17,653,116,95,288,80,,,
493,21,7,475,666,119,51,366,365,,,
494,22,335,524,668,120,24,356,363,,,
1,23,339,509,671,123,1755,352,367,,,
333,24,342,245,314,124,1518,566,368,,,
479,25,344,6,17,129,448,100,509,,,
480,27,348,14,1358,131,510,537,1078,,,
481,28,358,2,357,133,319,528,1375,,,
171,29,382,8,359,140,62,529,569,,,
820,30,448,622,363,144,592,39,67,,,
821,33,378,254,373,145,687,657,78,,,
699,34,373,201,80,146,1407,18,11,,,
700,38,450,103,213,147,101,24,70,,,
488,63,906,243,3,149,1344,702,992,,,
489,64,6,88,6,151,1001,1,108,,,
915,66,112,1619,9,152,1054,342,26,,,
916,67,415,197,469,155,512,550,5,,,
641,68,892,98,176,162,1306,669,81,,,
490,69,389,42,180,163,63,3,1003,,,
491,72,912,113,3,164,406,1283,119,,,
492,73,255,1418,138,175,353,703,15,,,
