Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,2,1,1255,380,2,972,100,112,527,1105,
21,12,278,26,17,3,800,18,18,60,31,
24,16,79,24,21,5,665,678,216,29,1209,
28,17,49,9,27,6,1126,192,221,32,1210,
29,18,78,31,30,8,419,675,224,33,1214,
30,20,56,236,32,9,793,193,225,34,448,
31,21,6,61,35,11,880,338,229,36,453,
109,25,1418,199,18,12,1396,196,37,87,193,
110,26,661,222,167,14,29,184,96,519,1037,
1,27,697,884,207,18,910,688,202,169,1504,
2,28,68,1544,45,19,487,164,441,39,247,
3,29,93,78,75,20,536,209,838,431,851,
867,30,342,834,1372,22,775,137,4,512,400,
73,32,348,766,456,24,717,171,48,533,2,
74,34,136,1425,112,25,1476,159,74,534,363,
53,35,47,45,457,26,997,700,843,671,1085,
54,36,53,1385,465,27,69,478,77,81,316,
55,37,135,85,132,28,548,10,846,119,82,
56,38,50,759,1344,30,367,673,56,14,747,
922,40,49,1142,402,31,514,57,87,192,176,
1,42,48,1180,585,33,1143,674,78,66,455,
956,43,373,290,914,34,664,59,847,146,77,
96,44,310,1477,363,35,1230,140,82,218,302,
1,48,1448,1362,824,37,426,417,66,1087,406,
2,49,388,35,1365,38,80,1,211,141,350,
3,50,532,7,258,42,751,60,851,579,73,
4,51,377,1218,230,43,818,93,40,90,142,
5,52,2,1327,95,44,1152,35,687,14,54,
6,107,84,1430,99,50,1089,783,67,16,681,
7,123,78,1463,104,51,1550,92,72,325,81,
8,126,12,1423,219,55,5,11,75,34,690,
9,127,69,1218,155,56,1217,791,76,12,908,
10,129,64,1515,35,59,1304,294,80,339,60,
11,130,75,596,332,61,314,317,71,1140,1206,
265,132,72,1351,178,63,245,242,461,610,1207,
424,135,116,1356,727,65,444,241,462,1347,655,
425,136,121,1350,730,66,273,283,746,1345,73,
426,140,71,619,944,68,1111,806,12,305,72,
364,141,69,687,268,69,1053,130,40,675,384,
145,147,407,700,380,71,878,329,137,674,20,
432,185,413,2,382,72,1296,799,878,673,1092,
433,194,557,1,384,73,146,429,726,672,677,
434,257,310,595,386,74,973,85,1109,671,969,
435,261,226,5,387,82,863,334,879,11,882,
436,262,632,67,91,83,742,595,330,1630,676,
