Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,2,515,1,1,1,1667,249,2028,2,1,
1,21,995,1,1,2,603,322,2279,2,1,
2485,22,2,1,188,4,7489,32,458,327,7662,
2486,264,9,2,189,5,463,31,459,328,7661,
2487,374,1311,3,190,9,1672,1119,1,329,7660,
2488,376,1304,4,191,10,6113,1129,2,330,7659,
1,385,1,1,1,15,7026,2,1,343,2802,
2,428,2,2,2,19,5817,1,457,1,1,
3,430,12,3,346,21,1376,44,456,2,3016,
4,432,1,1,3,22,1209,5,458,3,2803,
1,433,1,2,1,26,5650,1,457,344,2801,
3,434,2,1,2,27,4441,7,1,346,1,
4,435,9,1112,3,29,1271,99,2551,1,2,
5,436,8,1,697,33,5777,101,457,2,2911,
6,437,14,2,4,38,535,88,1996,3,3,
7,438,16,1111,5,39,6593,93,1464,4,4,
8,439,19,1111,698,40,4506,46,2094,5,2912,
9,626,21,1,6,43,5322,82,1087,6,5,
10,639,23,19,7,45,1621,79,49,7,6,
11,797,25,5776,699,47,2746,70,53,8,2913,
12,798,27,64,8,48,2920,96,11,9,7,
13,799,29,3956,9,50,1702,57,30,10,8,
14,800,32,5518,10,54,3343,95,406,11,9,
15,845,33,322,11,55,1913,98,8,12,10,
16,846,34,21,12,60,3165,94,14,13,11,
17,862,35,5519,13,65,689,97,51,14,12,
18,864,37,17,14,66,3657,91,41,15,13,
19,865,39,2531,15,74,1161,60,130,16,14,
20,866,40,1,16,77,6717,87,33,17,15,
21,867,41,220,17,78,6005,78,44,18,16,
22,870,42,18,18,81,2867,89,29,19,17,
23,871,44,307,19,85,3914,61,43,20,18,
24,872,46,63,20,86,2525,76,18,21,19,
25,873,48,73,21,87,141,83,120,22,20,
26,874,50,323,22,91,3208,74,8,23,21,
27,875,52,321,23,96,2338,72,20,24,22,
28,876,43,351,24,98,5256,80,13,25,23,
29,877,54,314,25,108,4514,68,93,26,24,
