Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
1,2,157,35,1,43,2676,183,790,1,1075,
2,1,91,1,2,2574,3194,77,653,2,1074,
3,1,165,10,3,2575,3014,127,1,3,1073,
3,41,254,2,3,4660,511,46,1850,1531,174,
4,3,255,3,4,4661,2422,29,3506,3,4,
5,2,256,1,6,4662,2415,27,3507,4,5,
6,1,257,1,8,4677,1971,93,1851,5,175,
7,4,258,35,10,4697,1774,90,1852,6,1080,
7,3,100,4,11,4708,1128,114,1,6,540,
8,2,107,10,12,4712,1645,78,655,7,261,
9,1,59,3,89,4715,226,83,656,8,143,
10,5,111,20,13,4716,461,98,252,9,783,
10,3644,56,37,13,4744,1345,219,401,9,461,
11,3645,74,1,14,4745,2027,133,1062,10,4,
512,3646,86,1,42,4746,1072,151,2,1,7,
501,5,107,2,39,4747,833,287,656,1529,7,
505,1,113,5,46,4748,2065,213,268,10,15,
506,6,89,1162,40,4755,1299,91,137,1532,8,
562,5,93,5,42,4940,1970,153,3,6,9,
563,2,104,2,2028,1091,712,145,4,7,675,
563,1,110,1,34,1093,1330,120,1062,1526,6,
521,2,185,1,61,1174,388,128,402,30,8,
563,3,186,1121,62,1175,665,129,546,31,9,
564,2,39,3,160,1176,1926,45,250,115,6,
565,1,65,1,131,1177,2268,80,408,13,446,
559,1,185,63,2476,1178,840,171,405,30,139,
610,3,186,1,62,1179,3328,155,3,31,14,
1,4,187,1,63,1688,339,110,3765,32,15,
2,8,20,3,59,2947,3408,217,3766,27,729,
3,9,125,2,63,4558,337,49,3767,33,28,
4,13,254,4,43,4928,2318,267,3768,7,23,
4,14,344,4,5,4931,4158,227,582,114,3,
5,15,292,1440,1,4934,1177,329,583,1,585,
5,16,374,13,2,4935,2985,423,584,2,1,
4,3,370,72,3,4936,1423,421,923,3,2,
4,2,297,1090,4,4937,1547,328,155,4,191,
5,1,372,64,4,4938,1895,531,26,4,1,
3863,2,590,1,5,20,772,310,124,5,2,
