Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
220,143,3707,2087,284,6,3425,1640,3243,89,209,
221,152,5139,1964,285,16,1328,1646,3237,90,210,
228,407,4388,1928,292,20,2233,1721,3134,93,217,
253,722,5079,608,2331,59,1047,2320,2314,110,2790,
506,887,4951,2113,625,217,2330,2209,2453,233,7405,
1393,889,1236,8904,1196,234,1684,2410,2117,3228,6855,
3282,894,2029,3054,772,885,1382,4538,1544,6384,7183,
3479,904,4194,1,882,1070,3512,2741,1717,2168,7090,
9052,1089,795,1,1109,1699,369,925,3192,1651,7030,
40,1091,5151,159,2210,1865,1192,2813,109,343,2787,
162,1108,2543,91,212,1871,5985,2691,23,39,151,
215,1179,4693,3,279,1876,3486,2801,1157,86,204,
219,1180,3709,54,283,1898,598,2127,1179,88,208,
468,1183,150,3234,576,1910,5416,44,960,201,7462,
1014,1188,323,140,8769,1919,3880,1306,1194,727,4474,
1758,1189,2879,4353,586,1927,2599,4447,2784,5870,7300,
1821,1190,1055,1655,671,1936,1026,82,2362,3468,7262,
2880,1191,87,1985,379,1952,3521,754,1988,4570,7448,
3306,1192,2028,1452,8687,1957,3644,5030,2397,6368,4541,
4442,1195,3067,4883,5192,1976,583,5257,1147,5958,3267,
5393,1196,2414,196,3922,1998,5497,2256,1049,6237,5423,
6278,2612,3626,180,984,2079,1531,3741,4079,2760,6996,
6840,2734,1984,994,4306,2097,2732,3689,2854,3497,1640,
7232,3199,374,2854,9663,2120,3929,29,2337,1460,709,
80,3201,5030,3183,105,2125,539,2949,1394,39,72,
147,3202,795,1149,190,2185,2042,521,1024,99,136,
177,198,79,3444,232,2196,608,437,3298,115,166,
218,572,898,3767,282,2200,270,898,1347,743,207,
430,573,18,865,527,2216,1197,504,3419,228,7510,
566,574,2573,94,684,2243,4436,390,2377,4111,7346,
692,694,2037,2690,2812,2269,405,606,1395,3418,5989,
2039,713,1501,251,4859,2286,4723,3792,853,226,3158,
2329,726,477,658,912,2287,120,2171,1154,470,7013,
4301,727,1291,237,8632,2325,3207,3538,4055,3714,4725,
4372,728,134,386,814,2410,4389,654,3401,332,7291,
6557,729,397,2200,5979,2429,2439,2709,2339,2989,1659,
8269,745,5262,4939,779,2436,1776,1160,2343,3659,7484,
8727,746,5523,5081,8002,2445,3278,1627,1076,1074,354,
139,753,63,307,179,2449,1366,216,863,89,128,
147,757,698,3583,191,2451,370,190,2855,99,136,
194,772,3186,3860,254,2468,5966,220,585,725,183,
217,773,1237,5627,281,2493,1744,597,1928,742,206,
392,776,4966,4562,2463,2554,3,2802,2361,4579,2536,
588,777,2624,78,2659,2586,1948,1517,1617,5113,6107,
1020,778,3852,3522,1663,2587,5471,2215,1218,2395,1982,
1689,780,3817,5335,4377,2590,1194,1454,1371,3167,3401,
2148,1186,613,1366,5045,2604,1099,1066,968,513,1600,
2437,1187,294,2872,5519,2610,86,1207,737,6353,3842,
3437,1203,3274,154,3122,2611,557,1307,1887,1523,5733,
3901,1204,1873,1828,2107,2647,5783,899,1177,1436,1933,
4792,1661,1167,90,6002,2669,1134,3693,1379,4639,5194,
4883,19,1211,1832,9027,2691,2767,3680,2856,5291,4392,
5157,148,1041,2001,3564,2749,4150,3647,1361,3939,2491,
5318,149,2226,4639,2241,2750,2785,69,1393,6220,6220,
7630,153,4391,303,7607,2773,4081,1717,687,304,1452,
10092,363,5680,284,888,2854,3357,1345,1045,547,7045,
10379,954,5955,1450,7755,2894,2066,883,757,319,691,
101,3338,605,40,982,2904,3590,1075,1078,15,2727,
354,151,3255,3489,677,2916,5083,76,1381,494,2506,
1050,641,1252,6620,574,2994,4034,2882,1214,390,9408,
1395,643,1010,34,82,3007,2935,2744,683,2250,4850,
1486,1357,1202,1247,2813,3053,2809,3087,1042,2900,6420,
3479,1375,3939,2788,4096,3056,3426,2853,1600,5172,6722,
4377,1376,3366,1725,3892,3074,5405,2642,2842,305,6766,
5363,1377,846,306,2728,3088,2138,1433,4155,2892,4597,
6196,1380,544,456,2128,3089,5667,1484,1953,1858,8460,
6643,1381,335,866,2661,3096,2126,517,1020,302,6527,
63,1384,4507,3334,84,3125,1485,3007,3293,1312,57,
157,1386,260,4466,205,3127,3450,233,1209,746,147,
316,1388,3097,6373,392,3167,1396,632,1220,1694,285,
791,1427,5028,5772,785,3186,1940,2764,1539,3789,7248,
1858,2518,362,1706,684,3187,5241,1857,1162,66,7246,
1982,2528,3193,95,4783,3297,1059,557,951,87,4210,
2034,2529,1341,508,4848,3302,1582,3759,1649,105,3164,
3243,2530,1925,1281,752,3313,3722,186,1061,1555,7217,
3524,2531,3258,6375,8781,3437,4226,58,2398,4825,1699,
3869,2532,695,167,1061,3540,1745,421,1019,825,6922,
4866,6468,116,6630,3470,3544,4763,278,2711,5635,5657,
4871,25,75,3117,3472,3546,3000,606,753,3653,5649,
5364,146,1068,4350,3846,3636,1214,3510,974,2951,5439,
7261,151,5322,73,9697,3643,144,2790,1989,478,2690,
9224,290,5323,4329,66,3648,3479,1035,3385,16,7630,
25,371,3731,26,32,3662,1095,2711,790,12,23,
131,406,4677,6777,168,3673,1888,2617,864,684,121,
204,887,3552,4247,265,3677,2491,2677,697,402,194,
220,890,4192,318,283,3747,729,2199,2366,50,210,
278,893,4060,267,351,3760,2542,2714,1364,61,257,
531,927,376,1783,660,3807,133,81,1195,125,7369,
1732,928,2221,2966,4434,3984,2447,4285,1650,58,3364,
2337,929,4803,1565,5356,3986,871,3295,1312,5096,3883,
2395,930,3429,2874,5449,4013,195,2831,1580,3802,3857,
3209,931,3640,1706,2790,4016,483,3078,1188,6116,1482,
6377,932,365,2265,1013,4026,1031,515,1189,2696,6969,
6825,933,825,3713,436,4028,4524,3712,1637,60,7419,
7177,934,1693,970,6961,4032,2045,1252,1634,3394,677,
8013,935,1468,5546,2357,4041,1009,1866,796,1276,6218,
27,936,435,3500,34,4044,1646,24,1331,2,24,
188,937,3903,3383,246,4046,3692,2607,1058,1677,178,
201,938,440,1025,262,4116,1881,48,1651,32,191,
219,939,4786,1,282,4135,3780,2294,1192,1340,209,
240,1029,95,3420,312,4136,722,59,760,1712,230,
493,1166,1208,55,610,4151,6018,2932,1874,1838,7419,
787,1182,457,206,1491,4187,5302,583,1326,3474,6739,
983,1183,2573,856,3164,4214,4347,3490,1185,2174,2674,
2179,1187,4235,3190,839,4236,2434,4070,975,106,7088,
2200,1188,3958,20,3114,4238,5065,3774,1392,110,2319,
3956,1214,4940,2470,52,4281,2091,3176,1197,1280,7646,
4317,1216,3660,142,8657,4292,462,5373,2236,2747,4700,
4367,1366,4760,2043,808,4297,2039,3735,3299,1286,7295,
4524,1367,4476,118,5464,4311,44,4829,1348,316,1757,
5995,1369,3471,208,821,4316,690,5064,1631,3552,7133,
6529,1371,847,169,2109,4366,1260,1142,2378,714,6252,
7795,1372,1175,403,1039,4375,972,519,1647,18,6952,
8140,1373,1639,133,6697,4409,3292,824,934,35,638,
67,1374,851,4024,90,4517,4951,257,1155,304,60,
202,1375,3898,3761,263,4527,3922,2392,950,401,192,
218,1376,4538,833,281,4530,1705,1914,816,49,208,
455,1377,702,8,559,4550,2008,232,1063,857,7473,
1629,1378,2402,2578,421,4597,3512,4247,1974,40,7358,
1872,1379,4315,702,4605,4615,3427,4174,5678,79,2102,
4564,1381,4935,1079,3288,4657,157,2077,2399,4991,5859,
4574,1384,1749,2923,1929,4658,1608,2315,2232,2639,2788,
5356,1486,3488,2393,2262,4669,2799,2100,2331,5594,6209,
6776,1487,305,673,373,4697,5815,482,2763,413,7491,
107,1649,1897,848,140,4709,2886,14,4156,360,96,
115,1651,2033,1677,149,4779,1336,231,1990,30,105,
164,1652,1844,1549,215,4791,1857,2904,389,45,154,
166,1653,1667,6790,218,4796,2754,2912,440,47,156,
217,1654,2026,2211,279,4825,892,564,2724,271,207,
224,1655,1158,2335,289,4836,4206,540,2857,94,214,
417,1656,571,4809,511,4882,1735,80,6537,156,7525,
802,1657,1212,3235,2940,4887,4187,2166,7855,5070,2423,
2847,1658,2272,422,4102,4949,3171,2456,19,948,3519,
2997,1659,1419,182,1347,4960,759,1939,310,129,6792,
3610,1660,1852,148,1815,4992,2710,1890,61,3083,2784,
3704,138,1855,36,8870,5077,905,1688,103,5043,4352,
3852,301,2604,214,5851,5109,3888,531,17,342,3816,
4464,305,1863,710,5280,5120,291,2273,1174,1974,1525,
4876,913,3313,2114,6026,5131,3853,3564,602,2278,3022,
5046,916,1598,924,2152,5155,2356,187,1125,4938,1352,
6668,947,1319,120,1249,5172,5583,284,1151,29,6852,
126,1211,744,69,162,5197,1499,3265,1173,304,116,
172,1238,2621,3111,225,5222,3319,607,954,281,162,
216,1244,3098,17,278,5245,5977,958,1188,606,206,
223,1247,2230,6897,288,5300,725,934,1073,241,213,
379,1249,455,5779,465,5302,1916,360,2833,92,7568,
