Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
32,1,593,53,32,466,5864,205,6136,19,803,
91,2,633,5,91,751,1583,234,5412,47,112,
119,2,215,3,119,1003,1484,962,6137,60,77,
126,1,527,143,126,1062,9194,203,6138,65,738,
140,1,76,9,140,1664,2319,241,5413,77,2,
143,2,4,6,143,2966,3506,340,7367,80,3,
167,3,597,42,167,3414,9830,132,7368,96,741,
283,3,1,144,283,3982,955,121,1657,160,746,
6732,5,545,14,11,5058,500,485,1310,310,350,
7444,1,412,11,288,5065,3097,470,2767,231,21,
8470,2,31,10,546,5563,7277,7,1,170,356,
8694,3,358,1,430,5638,4789,317,3230,220,353,
9755,4,251,40,580,6278,3734,151,3231,114,107,
10038,5,25,588,451,6811,593,93,2269,217,354,
10328,4,212,120,287,6932,8721,626,1658,255,165,
30,3,1,2,30,6961,175,31,1512,13,857,
52,2,431,3,52,8113,3672,525,32,17,2,
189,1,15,48,189,8115,4281,10,724,59,4,
204,5,355,11,204,8199,3966,280,1232,64,6,
206,2,395,1,206,10513,3033,215,1252,65,864,
231,1,391,42,231,10532,2767,181,8903,77,866,
234,6,32,1,234,10541,1568,32,4455,78,8,
3221,3,664,13,440,10562,2130,304,2905,155,65,
4079,3,917,2,50,10564,6169,321,740,319,59,
6305,5,672,11,129,10688,2177,461,2261,215,371,
9191,4,29,1,162,10689,1923,330,1955,250,369,
10123,1,346,47,410,10691,7314,73,1976,157,373,
44,2342,933,12,44,10694,1405,992,741,24,2620,
81,5,134,14,81,267,4781,972,3737,44,2641,
170,2,57,13,170,753,6489,117,876,98,2621,
218,1,676,6,218,1272,1514,465,8179,119,10,
242,1,301,4,242,2062,3206,28,2182,135,69,
296,6667,471,6,296,2378,835,193,724,165,15,
4034,4,480,130,64,2894,3465,347,2892,329,469,
4125,1,928,1,674,2985,1927,685,1656,20,99,
4354,1,561,141,568,3356,529,404,4480,190,476,
5945,4,13,148,368,4400,2027,414,24,217,473,
6787,5,6,584,4,4510,5849,163,9125,316,468,
9199,2454,276,17,158,4598,984,651,7447,288,313,
9695,8522,912,13,622,5524,5793,898,6136,80,97,
18,8516,4,117,18,6046,7237,227,4479,9,591,
97,4,151,101,97,6759,636,389,1230,56,2,
222,3,153,1,222,9004,8239,222,4481,119,7,
226,1,163,1,226,9006,370,73,1496,122,588,
253,2932,7,208,253,9157,1024,101,9223,130,8,
284,2934,8,105,284,9158,8458,226,4468,144,9,
1001,4591,240,103,385,9159,5460,45,2907,327,1242,
1003,8515,117,3,387,9162,1187,198,1954,328,1241,
1971,7,838,5,378,9218,1092,840,932,225,1244,
4041,4,845,538,63,9250,1994,375,8402,329,1239,
7406,3,484,23,313,9256,1819,467,6723,211,1026,
9117,2,867,1,195,9269,5250,518,3747,275,1240,
46,1,593,8,46,9332,2470,919,2183,25,5,
79,1,592,597,79,308,1726,730,7682,42,2640,
230,3,3,20,230,608,3006,55,8677,126,10,
257,6665,589,4,257,1222,4063,1010,5701,144,11,
266,6668,224,5,266,1854,1283,793,4137,148,12,
294,8,13,594,294,2247,2913,49,9636,163,14,
3210,3,464,4,449,2263,9094,661,5698,219,475,
4032,1,938,31,66,2685,6733,105,10135,327,470,
10400,8518,7,12,255,4059,2398,511,5687,258,471,
28,2445,509,2,28,4584,6096,294,4137,13,1,
70,2449,504,2,70,4642,8609,355,5977,38,3,
101,2,165,4,101,5258,3553,52,6103,60,88,
136,2933,4,7,136,5303,2556,56,4504,77,4,
301,2934,53,7,301,5846,4700,55,1631,154,11,
330,2935,425,209,330,6498,7215,312,4742,169,12,
4010,2937,141,529,73,6573,1472,169,1646,325,1,
7433,6662,191,104,295,6618,2779,320,1574,216,6,
14,6665,361,24,14,7817,7766,424,1,7,871,
61,3,378,261,61,7818,3473,267,3971,35,3,
72,1,4,4,72,7819,6777,92,1311,38,91,
118,3,382,24,118,7821,7069,363,2976,60,7,
130,2964,388,574,130,8341,93,279,959,70,87,
136,2,215,134,136,8342,8221,2,2968,75,9,
262,3,296,43,262,9651,4335,573,4448,146,14,
4191,5,144,21,648,10568,4180,139,2768,67,68,
7066,6,290,10,535,1157,1692,355,5997,150,60,
