Natural,Random,Gorder,RCM,RCM-strict,Rabbit,Grappolo,Slashburn
2.09425,2.41203,1.84968,2.1175,2.14968,1.52311,1.729,2.22083
1.0009,2.41372,0.75346,1.28385,1.22563,0.52045,0.72994,1.05743
0.85911,2.50553,1.26075,1.67527,1.51601,0.55427,0.57656,1.64532
2.34601,2.62186,2.26638,2.36926,2.34235,1.89471,2.07572,2.38153
2.10331,2.73808,1.91247,2.14351,2.20064,1.6646,1.84078,2.15584
2.7477,2.81068,3.02377,2.71808,2.48311,2.1909,2.00212,2.8337
1.34145,3.04548,1.01211,2.16021,2.06061,0.58639,1.0922,1.53263
2.01558,3.38641,1.54914,2.42157,2.45939,1.16234,1.46414,2.05558
2.66913,3.62169,2.34461,2.82246,3.06304,2.21385,2.44265,3.09398
3.5754,3.77703,3.07814,3.6531,3.50311,2.13087,2.85325,3.30904
3.43345,3.71548,2.7671,3.10853,4.1211,1.67567,2.52417,3.2654
2.60032,2.68977,2.34652,2.56498,2.6374,1.84253,2.18388,2.71059
2.2166,2.81206,2.05595,2.21632,2.31534,1.72416,2.01881,2.25442
3.54827,4.14522,3.23476,3.95977,3.90328,2.47688,3.17019,3.85708
3.06005,3.71003,3.65872,3.65257,3.45254,2.50594,2.71037,3.73383
0.53663,3.7252,2.2976,3.28622,3.05762,1.56051,1.82107,3.34879
3.11083,3.70039,1.57248,2.5742,2.39282,1.15937,2.24106,3.06332
1.57745,2.66347,1.29662,1.57883,1.6622,0.85437,1.16368,2.37205
1.69663,2.97081,1.4509,1.70902,1.82437,0.89039,1.25026,2.60835
1.82165,3.25939,1.53099,1.90186,2.01504,0.9197,1.32816,2.86668
1.96138,3.56901,1.63446,1.99976,2.13622,0.9322,1.39096,3.11956
1.89181,3.39667,1.28188,1.75403,1.64336,0.97902,1.38197,3.00928
3.0837,3.36934,3.07825,3.12083,3.10382,2.52808,2.99321,3.18438
3.19325,3.38864,2.4077,2.21895,388.244,1.7143,2.36856,3.40552
1.11433,3.58023,1.57248,2.71057,2.72856,1.53245,1.27118,3.70263
